	Systematic.name	cluster	cluster.size	coord
Glycogen phosphorylase (EC 2.4.1.1)	Glycogen phosphorylase (EC 2.4.1.1)	1	326	0.0304588896524525
GTP-binding protein HflX	GTP-binding protein HflX	1	326	0.0287579504528569
Hcp transcriptional regulator HcpR (Crp/Fnr family)	Hcp transcriptional regulator HcpR (Crp/Fnr family)	1	326	0.0248490465662192
Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	1	326	0.0302183187851083
Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-)	1	326	0.0311071675943312
Lipopolysaccharide ABC transporter, ATP-binding protein LptB	Lipopolysaccharide ABC transporter, ATP-binding protein LptB	1	326	0.0290574432825446
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	1	326	0.0282636865704982
LSU m5C1962 methyltransferase RlmI	LSU m5C1962 methyltransferase RlmI	1	326	0.029859443178252
Malate dehydrogenase (EC 1.1.1.37)	Malate dehydrogenase (EC 1.1.1.37)	1	326	0.0352093404895779
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	1	326	0.0308561380829486
Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	1	326	0.0300320368759603
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	1	326	0.033231515145382
Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	1	326	0.0335591599010349
MiaB family protein, possibly involved in tRNA or rRNA modification	MiaB family protein, possibly involved in tRNA or rRNA modification	1	326	0.028738590906884
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	1	326	0.0270737492850397
MoxR-like ATPase in aerotolerance operon	MoxR-like ATPase in aerotolerance operon	1	326	0.028562274176964
Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	1	326	0.0289959356771022
Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	1	326	0.02941741177923
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)	1	326	0.0288624966648175
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)	1	326	0.0320842202755686
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)	1	326	0.0297796572358744
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)	1	326	0.0323765767676339
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)	1	326	0.0287911264474304
NADPH dependent preQ0 reductase	NADPH dependent preQ0 reductase	1	326	0.0244458429490355
Nitric oxide-dependent regulator DnrN or NorA	Nitric oxide-dependent regulator DnrN or NorA	1	326	0.0295668936883277
Outer membrane protein H precursor	Outer membrane protein H precursor	1	326	0.0352350339513967
Pantoate--beta-alanine ligase (EC 6.3.2.1)	Pantoate--beta-alanine ligase (EC 6.3.2.1)	1	326	0.0312452356912848
Phosphatidylserine decarboxylase (EC 4.1.1.65)	Phosphatidylserine decarboxylase (EC 4.1.1.65)	1	326	0.0297704325350669
Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	1	326	0.0317618150596429
Protein YicC	Protein YicC	1	326	0.0318165149365512
Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	1	326	0.0350059046251285
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	1	326	0.0302734477504384
Queuosine Biosynthesis QueC ATPase	Queuosine Biosynthesis QueC ATPase	1	326	0.0317008377824496
Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	1	326	0.0343165651778502
Quinolinate synthetase (EC 2.5.1.72)	Quinolinate synthetase (EC 2.5.1.72)	1	326	0.0344149886426745
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	Ribose 5-phosphate isomerase B (EC 5.3.1.6)	1	326	0.0294498895760291
Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase	1	326	0.0279585321189834
Ribosome hibernation protein YhbH	Ribosome hibernation protein YhbH	1	326	0.035905213675659
Rubrerythrin	Rubrerythrin	1	326	0.0304783289077937
S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	1	326	0.0294371675102804
Shikimate kinase I (EC 2.7.1.71)	Shikimate kinase I (EC 2.7.1.71)	1	326	0.0277063054459908
Succinate dehydrogenase cytochrome b subunit	Succinate dehydrogenase cytochrome b subunit	1	326	0.0336576122074451
Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	1	326	0.0285172819373334
Sulfur acceptor protein SufE for iron-sulfur cluster assembly	Sulfur acceptor protein SufE for iron-sulfur cluster assembly	1	326	0.0300003713690849
Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	1	326	0.0278103305994516
Thiamine-monophosphate kinase (EC 2.7.4.16)	Thiamine-monophosphate kinase (EC 2.7.4.16)	1	326	0.0304660168803163
Thiol:disulfide oxidoreductase related to ResA	Thiol:disulfide oxidoreductase related to ResA	1	326	0.0288421680509258
TonB-dependent receptor	TonB-dependent receptor	1	326	0.030413400881649
Trk system potassium uptake protein TrkA	Trk system potassium uptake protein TrkA	1	326	0.0242488378266568
tRNA-i(6)A37 methylthiotransferase	tRNA-i(6)A37 methylthiotransferase	1	326	0.0273175172032359
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.-)	1	326	0.0306516250545377
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	1	326	0.0303820093019094
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	1	326	0.0263692877738084
3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.41)	1	326	0.029549106186339
ADA regulatory protein	ADA regulatory protein	1	326	0.0273009576555686
Argininosuccinate lyase (EC 4.3.2.1)	Argininosuccinate lyase (EC 4.3.2.1)	1	326	0.0289123646916949
Beta-lactamase (EC 3.5.2.6)	Beta-lactamase (EC 3.5.2.6)	1	326	0.0259976095469636
Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	Cytoplasmic axial filament protein CafA and Ribonuclease G (EC 3.1.4.-)	1	326	0.0303073592222274
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	1	326	0.0249084572362019
Fumarylacetoacetate hydrolase family protein	Fumarylacetoacetate hydrolase family protein	1	326	0.0261541654247204
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	1	326	0.0260740068037691
Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	Hydroxyacylglutathione hydrolase (EC 3.1.2.6)	1	326	0.0279529294251547
Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	Hypothetical radical SAM family enzyme, NOT coproporphyrinogen III oxidase, oxygen-independent	1	326	0.0308347486807782
Integration host factor alpha subunit	Integration host factor alpha subunit	1	326	0.0255528854751661
Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	1	326	0.0319122804383343
Lipid-A-disaccharide synthase (EC 2.4.1.182)	Lipid-A-disaccharide synthase (EC 2.4.1.182)	1	326	0.0257459363496816
Peptidase M48, Ste24p precursor	Peptidase M48, Ste24p precursor	1	326	0.0271103294231167
Phosphoglycerol transferase I (EC 2.7.8.20)	Phosphoglycerol transferase I (EC 2.7.8.20)	1	326	0.0273638866940926
Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	1	326	0.0294003328200616
Proofreading thioesterase in enterobactin biosynthesis EntH	Proofreading thioesterase in enterobactin biosynthesis EntH	1	326	0.0269566243652257
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	1	326	0.0282973908053717
Pyruvate formate-lyase (EC 2.3.1.54)	Pyruvate formate-lyase (EC 2.3.1.54)	1	326	0.0332611648912751
Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)	1	326	0.0320754067437675
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	1	326	0.0290979028409718
rubredoxin-oxygen oxidoreductase	rubredoxin-oxygen oxidoreductase	1	326	0.0297502693728982
Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)	1	326	0.0259303228246265
Signal peptidase-like protein	Signal peptidase-like protein	1	326	0.0296493326049289
Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3)	1	326	0.0307891270753607
Spermidine synthase (EC 2.5.1.16)	Spermidine synthase (EC 2.5.1.16)	1	326	0.0297346045016736
Sulfur carrier protein ThiS	Sulfur carrier protein ThiS	1	326	0.0314492169398039
tRNA-guanine transglycosylase (EC 2.4.2.29)	tRNA-guanine transglycosylase (EC 2.4.2.29)	1	326	0.0274221601944349
ABC-type multidrug transport system, ATPase component	ABC-type multidrug transport system, ATPase component	1	326	0.0298201868969743
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	1	326	0.0268257879464777
Argininosuccinate synthase (EC 6.3.4.5)	Argininosuccinate synthase (EC 6.3.4.5)	1	326	0.0278807307627906
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)	1	326	0.027391166521339
Chorismate mutase I (EC 5.4.99.5)	Chorismate mutase I (EC 5.4.99.5)	1	326	0.0272065232099896
Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	Deoxycytidine triphosphate deaminase (EC 3.5.4.13)	1	326	0.0245943163253812
Dihydroorotate dehydrogenase (EC 1.3.3.1)	Dihydroorotate dehydrogenase (EC 1.3.3.1)	1	326	0.0277677301666815
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	1	326	0.0301516031898732
Glutamine amidotransferase chain of NAD synthetase	Glutamine amidotransferase chain of NAD synthetase	1	326	0.0277310734965387
Glycosyltransferase	Glycosyltransferase	1	326	0.0272896626280834
Inorganic pyrophosphatase (EC 3.6.1.1)	Inorganic pyrophosphatase (EC 3.6.1.1)	1	326	0.0330199036777859
Magnesium and cobalt efflux protein CorC	Magnesium and cobalt efflux protein CorC	1	326	0.0273429298382204
Polyphosphate glucokinase (EC 2.7.1.63)	Polyphosphate glucokinase (EC 2.7.1.63)	1	326	0.0317043246243205
Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII	1	326	0.0250747109311134
Replicative DNA helicase (EC 3.6.1.-)	Replicative DNA helicase (EC 3.6.1.-)	1	326	0.0283256458451906
Transaldolase (EC 2.2.1.2)	Transaldolase (EC 2.2.1.2)	1	326	0.0274133569821261
Transketolase (EC 2.2.1.1)	Transketolase (EC 2.2.1.1)	1	326	0.0274697839974791
Xaa-Pro aminopeptidase (EC 3.4.11.9)	Xaa-Pro aminopeptidase (EC 3.4.11.9)	1	326	0.0275532504196461
3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)	1	326	0.027907877637358
Thiamin-regulated outer membrane receptor Omr1	Thiamin-regulated outer membrane receptor Omr1	1	326	0.0278992244195482
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	1	326	0.0292402431149082
4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	1	326	0.0274534412763333
Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	Biotin carboxyl carrier protein of methylmalonyl-CoA decarboxylase	1	326	0.0340212508759566
Chaperone protein HtpG	Chaperone protein HtpG	1	326	0.0343386583931234
L-aspartate oxidase (EC 1.4.3.16)	L-aspartate oxidase (EC 1.4.3.16)	1	326	0.0362460235545436
Putative activity regulator of membrane protease YbbK	Putative activity regulator of membrane protease YbbK	1	326	0.0266816224240946
Thiol peroxidase, Bcp-type (EC 1.11.1.15)	Thiol peroxidase, Bcp-type (EC 1.11.1.15)	1	326	0.0291982076658492
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	1	326	0.0241781132492119
Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)	1	326	0.0227748916443564
Hydroxyethylthiazole kinase (EC 2.7.1.50)	Hydroxyethylthiazole kinase (EC 2.7.1.50)	1	326	0.0266923931328168
Ribonuclease PH (EC 2.7.7.56)	Ribonuclease PH (EC 2.7.7.56)	1	326	0.0277763915208936
Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)	1	326	0.0230483826153984
Twin-arginine translocation protein TatA	Twin-arginine translocation protein TatA	1	326	0.0245039987734276
Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	Benzoyl-CoA reductase subunit BadG (EC 1.3.99.15)	1	326	0.0334647993642204
DNA-binding protein HU-beta	DNA-binding protein HU-beta	1	326	0.0375961110871375
Flavodoxin 1	Flavodoxin 1	1	326	0.0358462115370619
hypothetical protein PA3071	hypothetical protein PA3071	1	326	0.0307503608472068
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)	1	326	0.0339962265670207
Outer membrane protein assembly factor YaeT precursor	Outer membrane protein assembly factor YaeT precursor	1	326	0.0344844329582622
Outer membrane receptor proteins, mostly Fe transport	Outer membrane receptor proteins, mostly Fe transport	1	326	0.0320702306883584
BatA (Bacteroides aerotolerance operon)	BatA (Bacteroides aerotolerance operon)	1	326	0.0321784389494424
Biosynthetic arginine decarboxylase (EC 4.1.1.19)	Biosynthetic arginine decarboxylase (EC 4.1.1.19)	1	326	0.0327133850015046
Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)	1	326	0.0305998150021828
Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	Dipeptidyl peptidase IV in 4-hydroxyproline catabolic gene cluster	1	326	0.0285665465314036
DNA recombination protein RmuC	DNA recombination protein RmuC	1	326	0.033192891003105
Ferric siderophore transport system, biopolymer transport protein ExbB	Ferric siderophore transport system, biopolymer transport protein ExbB	1	326	0.0336695561613251
Glycyl-tRNA synthetase (EC 6.1.1.14)	Glycyl-tRNA synthetase (EC 6.1.1.14)	1	326	0.0281041686277046
Isochorismate synthase (EC 5.4.4.2)	Isochorismate synthase (EC 5.4.4.2)	1	326	0.0311500606610729
L-threonine 3-dehydrogenase (EC 1.1.1.103)	L-threonine 3-dehydrogenase (EC 1.1.1.103)	1	326	0.0309956535773927
Outer membrane stress sensor protease DegS	Outer membrane stress sensor protease DegS	1	326	0.0340155639910757
Putrescine/proton symporter, putrescine/ornithine antiporter PotE	Putrescine/proton symporter, putrescine/ornithine antiporter PotE	1	326	0.0296044531719104
Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	Radical SAM family protein HutW, similar to coproporphyrinogen III oxidase, oxygen-independent, associated with heme uptake	1	326	0.0336787106593884
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	1	326	0.0288085161265962
Superoxide reductase (EC 1.15.1.2)	Superoxide reductase (EC 1.15.1.2)	1	326	0.0322854808080792
Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	Survival protein SurA precursor (Peptidyl-prolyl cis-trans isomerase SurA) (EC 5.2.1.8)	1	326	0.0312315449967731
SusC, outer membrane protein involved in starch binding	SusC, outer membrane protein involved in starch binding	1	326	0.0352347227374924
SusD, outer membrane protein	SusD, outer membrane protein	1	326	0.0322107199201521
Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130)	1	326	0.0268281052501183
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily M (as in PMID19099556)	1	326	0.0234768477959354
Electron transport complex protein RnfB	Electron transport complex protein RnfB	1	326	0.0278015395883718
Ferric iron ABC transporter, iron-binding protein	Ferric iron ABC transporter, iron-binding protein	1	326	0.0234752029478913
Hypothetical protein DUF901, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins	Hypothetical protein DUF901, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins	1	326	0.0236121174914667
Rrf2 family transcriptional regulator	Rrf2 family transcriptional regulator	1	326	0.0258410600850374
C4-type zinc finger protein, DksA/TraR family	C4-type zinc finger protein, DksA/TraR family	1	326	0.0317459478232303
Pseudouridine kinase (EC 2.7.1.83)	Pseudouridine kinase (EC 2.7.1.83)	1	326	0.0340557275176908
Radical SAM domain heme biosynthesis protein	Radical SAM domain heme biosynthesis protein	1	326	0.0311289449165786
Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)	Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.15)	1	326	0.0323065291235757
AmpG permease	AmpG permease	1	326	0.0281075194527078
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	1	326	0.0268895170303783
Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2)	1	326	0.0320662805595693
Na+/H+ antiporter NhaD type	Na+/H+ antiporter NhaD type	1	326	0.0281795962572574
Predicted cobalt transporter in Bacteroides_Porphyromonas	Predicted cobalt transporter in Bacteroides_Porphyromonas	1	326	0.0271517045218551
rhamnogalacturonan acetylesterase	rhamnogalacturonan acetylesterase	1	326	0.0288200666974899
Uroporphyrinogen-III synthase (EC 4.2.1.75)	Uroporphyrinogen-III synthase (EC 4.2.1.75)	1	326	0.029136784882567
MotA/TolQ/ExbB proton channel family protein	MotA/TolQ/ExbB proton channel family protein	1	326	0.0276597028361976
V-type ATP synthase subunit F (EC 3.6.3.14)	V-type ATP synthase subunit F (EC 3.6.3.14)	1	326	0.0297999429921341
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	1	326	0.0271246949234834
DNA-binding protein HU-alpha	DNA-binding protein HU-alpha	1	326	0.0294528131987459
L-serine dehydratase (EC 4.3.1.17)	L-serine dehydratase (EC 4.3.1.17)	1	326	0.0289785646987097
