Gene	EC_number	EC_Annotation
V1153964	ec:1.3.8.1	 short-chain acyl-CoA dehydrogenase; butyryl-CoA dehydrogenase; butanoyl-CoA dehydrogenase; butyryl dehydrogenase; unsaturated acyl-CoA reductase; ethylene reductase; enoyl-coenzyme A reductase; unsaturated acyl coenzyme A reductase; butyryl coenzyme A dehydrogenase; short-chain acyl CoA dehydrogenase; short-chain acyl-coenzyme A dehydrogenase; 3-hydroxyacyl CoA reductase; butanoyl-CoA:(acceptor) 2,3-oxidoreductase; ACADS (gene name). ec:1.3.8.10 cyclohex-1-ene-1-carbonyl-CoA dehydrogenase ec:1.3.8.11 cyclohexane-1-carbonyl-CoA dehydrogenase ec:1.3.8.12 (2S)-methylsuccinyl-CoA dehydrogenase; Mcd ec:1.3.8.13 crotonobetainyl-CoA reductase; caiA (gene name) ec:1.3.99.2 Transferred to 1.3.8.1
V1014074	ec:2.3.1.54	 formate C-acetyltransferase; pyruvate formate-lyase; pyruvic formate-lyase; formate acetyltransferase
V1009698	ec:1.11.1.15	 peroxiredoxin; thioredoxin peroxidase; tryparedoxin peroxidase; alkyl hydroperoxide reductase C22; AhpC; TrxPx; TXNPx; Prx; PRDX
V1884198	ec:2.3.1.9	 acetyl-CoA C-acetyltransferase; acetoacetyl-CoA thiolase; beta-acetoacetyl coenzyme A thiolase; 2-methylacetoacetyl-CoA thiolase [misleading]; 3-oxothiolase; acetyl coenzyme A thiolase; acetyl-CoA acetyltransferase; acetyl-CoA:N-acetyltransferase; thiolase II ec:2.3.1.90 beta-glucogallin O-galloyltransferase ec:2.3.1.91 sinapoylglucose---choline O-sinapoyltransferase; sinapine synthase ec:2.3.1.92 sinapoylglucose---malate O-sinapoyltransferase; 1-sinapoylglucose-L-malate sinapoyltransferase; sinapoylglucose:malate sinapoyltransferase ec:2.3.1.93 13-hydroxylupanine O-tigloyltransferase; tigloyl-CoA:13-hydroxylupanine O-tigloyltransferase; 13-hydroxylupanine acyltransferase ec:2.3.1.94 6-deoxyerythronolide-B synthase; erythronolide condensing enzyme; malonyl-CoA:propionyl-CoA malonyltransferase (cyclizing); erythronolide synthase; malonyl-CoA:propanoyl-CoA malonyltransferase (cyclizing); deoxyerythronolide B synthase; 6-deoxyerythronolide B synthase; DEBS ec:2.3.1.95 trihydroxystilbene synthase; resveratrol synthase; stilbene synthase (ambiguous) ec:2.3.1.96 glycoprotein N-palmitoyltransferase; mucus glycoprotein fatty acyltransferase ec:2.3.1.97 glycylpeptide N-tetradecanoyltransferase; peptide N-myristoyltransferase; myristoyl-CoA-protein N-myristoyltransferase; myristoyl-coenzyme A:protein N-myristoyl transferase; myristoylating enzymes; protein N-myristoyltransferase ec:2.3.1.98 chlorogenate---glucarate O-hydroxycinnamoyltransferase; chlorogenate:glucarate caffeoyltransferase; chlorogenic acid:glucaric acid O-caffeoyltransferase; chlorogenate:glucarate caffeoyltransferase ec:2.3.1.99 quinate O-hydroxycinnamoyltransferase; hydroxycinnamoyl coenzyme A-quinate transferase
V1266125	ec:2.3.1.54	 formate C-acetyltransferase; pyruvate formate-lyase; pyruvic formate-lyase; formate acetyltransferase
V1039101	ec:5.2.1.8	 peptidylprolyl isomerase; PPIase; cyclophilin [misleading, see comments]; peptide bond isomerase; peptidyl-prolyl cis-trans isomerase
V1201514	ec:1.17.4.2	 ribonucleoside-triphosphate reductase (thioredoxin); ribonucleotide reductase (ambiguous); 2'-deoxyribonucleoside-triphosphate:oxidized-thioredoxin 2'-oxidoreductase
V1013406	ec:1.17.1.2	 Transferred to 1.17.7.4
V1039802	ec:4.1.99.11	 benzylsuccinate synthase; benzylsuccinate fumarate-lyase
V1017590	ec:2.7.2.4	 aspartate kinase; aspartokinase; AK; beta-aspartokinase; aspartic kinase
V1038426	ec:3.4.11.18	 methionyl aminopeptidase; methionine aminopeptidase; peptidase M; L-methionine aminopeptidase; MAP
V1016290	ec:6.1.1.4	 leucine---tRNA ligase; leucyl-tRNA synthetase; leucyl-transfer ribonucleate synthetase; leucyl-transfer RNA synthetase; leucyl-transfer ribonucleic acid synthetase; leucine-tRNA synthetase; leucine translase
V1010897	ec:3.5.4.28	 S-adenosylhomocysteine deaminase; adenosylhomocysteine deaminase
V1020418	ec:6.3.4.4	 adenylosuccinate synthase; IMP---aspartate ligase; adenylosuccinate synthetase; succinoadenylic kinosynthetase; succino-AMP synthetase
V1200824	ec:2.7.4.3	 adenylate kinase; myokinase; 5'-AMP-kinase; adenylic kinase; adenylokinase ec:2.7.4.30 Transferred to 2.7.8.43 ec:2.7.4.31 [5-(aminomethyl)furan-3-yl]methyl phosphate kinase; MfnE ec:2.7.4.32 farnesyl phosphate kinase
V1374569	ec:5.99.1.3	 DNA topoisomerase (ATP-hydrolysing); type II DNA topoisomerase; DNA-gyrase; deoxyribonucleate topoisomerase; deoxyribonucleic topoisomerase; topoisomerase; DNA topoisomerase II
V1820497	ec:6.1.1.6	 lysine---tRNA ligase; lysyl-tRNA synthetase; lysyl-transfer ribonucleate synthetase; lysyl-transfer RNA synthetase; L-lysine-transfer RNA ligase; lysine-tRNA synthetase; lysine translase
V1037878	ec:4.2.1.17	 enoyl-CoA hydratase; enoyl hydrase; unsaturated acyl-CoA hydratase; beta-hydroxyacyl-CoA dehydrase; beta-hydroxyacid dehydrase; acyl coenzyme A hydrase; crotonase; crotonyl hydrase; 2-octenoyl coenzyme A hydrase; enoyl coenzyme A hydratase; 2-enoyl-CoA hydratase; short-chain enoyl-CoA hydratase; ECH; trans-2-enoyl-CoA hydratase; enoyl coenzyme A hydrase (D); enoyl coenzyme A hydrase (L); short chain enoyl coenzyme A hydratase; D-3-hydroxyacyl-CoA dehydratase; enol-CoA hydratase ec:4.2.1.170 2-(omega-methylthio)alkylmalate dehydratase; IPMI (gene name) ec:4.2.1.171 cis-L-3-hydroxyproline dehydratase; cis-L-3-hydroxyproline hydro-lyase; c3LHypD
V1038297	ec:4.2.1.9	 dihydroxy-acid dehydratase; acetohydroxyacid dehydratase; alpha,beta-dihydroxyacid dehydratase; 2,3-dihydroxyisovalerate dehydratase; alpha,beta-dihydroxyisovalerate dehydratase; dihydroxy acid dehydrase; DHAD; 2,3-dihydroxy-acid hydro-lyase ec:4.2.1.90 L-rhamnonate dehydratase; L-rhamnonate hydro-lyase ec:4.2.1.91 arogenate dehydratase; carboxycyclohexadienyl dehydratase; L-arogenate hydro-lyase (decarboxylating) ec:4.2.1.92 hydroperoxide dehydratase; hydroperoxide isomerase; linoleate hydroperoxide isomerase; linoleic acid hydroperoxide isomerase; HPI; (9Z,11E,14Z)-(13S)-hydroperoxyoctadeca-9,11,14-trienoate 12,13-hydro-lyase; (9Z,11E,14Z)-(13S)-hydroperoxyoctadeca-9,11,14-trienoate 12,13-hydro-lyase [(9Z)-(13S)-12,13-epoxyoctadeca-9,11-dienoate-forming]; allene oxide synthase; AOS ec:4.2.1.93 ATP-dependent NAD(P)H-hydrate dehydratase; reduced nicotinamide adenine dinucleotide hydrate dehydratase; ATP-dependent H4NAD(P)+OH dehydratase; (6S)-beta-6-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase(ATP-hydrolysing); (6S)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing; NADH-forming) ec:4.2.1.94 scytalone dehydratase; scytalone 7,8-hydro-lyase ec:4.2.1.95 kievitone hydratase; KHase; kievitone-hydrate hydro-lyase ec:4.2.1.96 4a-hydroxytetrahydrobiopterin dehydratase; 4alpha-hydroxy-tetrahydropterin dehydratase; pterin-4alpha-carbinolamine dehydratase; 4a-hydroxytetrahydrobiopterin hydro-lyase ec:4.2.1.97 phaseollidin hydratase; phaseollidin-hydrate hydro-lyase ec:4.2.1.98 16alpha-hydroxyprogesterone dehydratase; hydroxyprogesterone dehydroxylase; 16alpha-hydroxyprogesterone dehydroxylase; 16alpha-dehydroxylase; 16alpha-hydroxyprogesterone hydro-lyase ec:4.2.1.99 2-methylisocitrate dehydratase; (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate hydro-lyase
V1010898	ec:3.3.1.1	 adenosylhomocysteinase; S-adenosylhomocysteine synthase; S-adenosylhomocysteine hydrolase (ambiguous); adenosylhomocysteine hydrolase; S-adenosylhomocysteinase; SAHase; AdoHcyase
V1014514	ec:3.1.26.3	 ribonuclease III; RNase III; ribonuclease 3
V1155143	ec:5.99.1.3	 DNA topoisomerase (ATP-hydrolysing); type II DNA topoisomerase; DNA-gyrase; deoxyribonucleate topoisomerase; deoxyribonucleic topoisomerase; topoisomerase; DNA topoisomerase II
V1010371	ec:3.6.1.1	 inorganic diphosphatase ec:3.6.1.10 endopolyphosphatase; polyphosphate depolymerase; metaphosphatase; polyphosphatase; polymetaphosphatase ec:3.6.1.11 exopolyphosphatase; metaphosphatase; acid phosphoanhydride phosphohydrolase; Gra-Pase ec:3.6.1.12 dCTP diphosphatase; deoxycytidine-triphosphatase; dCTPase; dCTP pyrophosphatase; deoxycytidine triphosphatase; deoxy-CTPase; dCTPase ec:3.6.1.13 ADP-ribose diphosphatase; ADPribose pyrophosphatase; adenosine diphosphoribose pyrophosphatase; ADPR-PPase; ADP-ribose ribophosphohydrolase ec:3.6.1.14 adenosine-tetraphosphatase ec:3.6.1.15 nucleoside-triphosphate phosphatase; nucleoside-triphosphatase; nucleoside triphosphate phosphohydrolase; nucleoside-5-triphosphate phosphohydrolase; nucleoside 5-triphosphatase; unspecific diphosphate phosphohydrolase ec:3.6.1.16 CDP-glycerol diphosphatase; CDP-glycerol pyrophosphatase; cytidine diphosphoglycerol pyrophosphatase ec:3.6.1.17 bis(5'-nucleosyl)-tetraphosphatase (asymmetrical); bis(5'-guanosyl)-tetraphosphatase; bis(5'-adenosyl)-tetraphosphatase; diguanosinetetraphosphatase (asymmetrical); dinucleosidetetraphosphatase (asymmetrical); diadenosine P1,P4-tetraphosphatase; dinucleoside tetraphosphatase; 1-P,4-P-bis(5'-nucleosyl)-tetraphosphate nucleotidohydrolase ec:3.6.1.18 FAD diphosphatase; FAD pyrophosphatase; riboflavin adenine dinucleotide pyrophosphatase; flavin adenine dinucleotide pyrophosphatase; riboflavine adenine dinucleotide pyrophosphatase; flavine adenine dinucleotide pyrophosphatase ec:3.6.1.19 Transferred to 3.6.1.9
V1014820	ec:6.1.1.12	 aspartate---tRNA ligase; aspartyl-tRNA synthetase; aspartyl ribonucleic synthetase; aspartyl-transfer RNA synthetase; aspartic acid translase; aspartyl-transfer ribonucleic acid synthetase; aspartyl ribonucleate synthetase
V1037768	ec:1.97.1.4	 [formate-C-acetyltransferase]-activating enzyme; PFL activase; PFL-glycine:S-adenosyl-L-methionine H transferase (flavodoxin-oxidizing, S-adenosyl-L-methionine-cleaving); formate acetyltransferase activating enzyme; formate acetyltransferase-glycine dihydroflavodoxin:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)
V1014819	ec:6.1.1.21	 histidine---tRNA ligase; histidyl-tRNA synthetase; histidyl-transfer ribonucleate synthetase; histidine translase
V1011765	ec:2.1.3.1	 methylmalonyl-CoA carboxytransferase; transcarboxylase; methylmalonyl coenzyme A carboxyltransferase; methylmalonyl-CoA transcarboxylase; oxalacetic transcarboxylase; methylmalonyl-CoA carboxyltransferase; methylmalonyl-CoA carboxyltransferase; (S)-2-methyl-3-oxopropanoyl-CoA:pyruvate carboxyltransferase; (S)-2-methyl-3-oxopropanoyl-CoA:pyruvate carboxytransferase carboxytransferase [incorrect] ec:2.1.3.10 malonyl-S-ACP:biotin-protein carboxyltransferase; malonyl-S-acyl-carrier protein:biotin-protein carboxyltransferase; MadC/MadD; MadC,D; malonyl-[acyl-carrier protein]:biotinyl-[protein] carboxyltransferase ec:2.1.3.11 N-succinylornithine carbamoyltransferase; succinylornithine transcarbamylase; N-succinyl-L-ornithine transcarbamylase; SOTCase ec:2.1.3.12 decarbamoylnovobiocin carbamoyltransferase; novN (gene name) ec:2.1.3.13 Deleted entry ec:2.1.3.14 Deleted entry
V1015734	ec:6.1.1.19	 arginine---tRNA ligase; arginyl-tRNA synthetase; arginyl-transfer ribonucleate synthetase; arginyl-transfer RNA synthetase; arginyl transfer ribonucleic acid synthetase; arginine-tRNA synthetase; arginine translase
V1009500	ec:1.4.99.5	 glycine dehydrogenase (cyanide-forming); hydrogen cyanide synthase; HCN synthase
V1009501	ec:1.4.99.5	 glycine dehydrogenase (cyanide-forming); hydrogen cyanide synthase; HCN synthase
V1017849	ec:1.97.1.4	 [formate-C-acetyltransferase]-activating enzyme; PFL activase; PFL-glycine:S-adenosyl-L-methionine H transferase (flavodoxin-oxidizing, S-adenosyl-L-methionine-cleaving); formate acetyltransferase activating enzyme; formate acetyltransferase-glycine dihydroflavodoxin:S-adenosyl-L-methionine oxidoreductase (S-adenosyl-L-methionine cleaving)
V1014250	ec:2.7.9.2	 pyruvate, water dikinase; phosphoenolpyruvate synthase; pyruvate-water dikinase (phosphorylating); PEP synthetase; phosphoenolpyruvate synthase; phoephoenolpyruvate synthetase; phosphoenolpyruvic synthase; phosphopyruvate synthetase
V1012697	ec:3.1.3.16	 protein-serine/threonine phosphatase; phosphoprotein phosphatase (ambiguous); protein phosphatase-1; protein phosphatase-2A; protein phosphatase-2B; protein phosphatase-2C; protein D phosphatase; phosphospectrin phosphatase; casein phosphatase; Aspergillus awamori acid protein phosphatase; calcineurin; phosphatase 2A; phosphatase 2B; phosphatase II; phosphatase IB; phosphatase C-II; polycation modulated (PCM-) phosphatase; phosphopyruvate dehydrogenase phosphatase; phosphatase SP; branched-chain alpha-keto acid dehydrogenase phosphatase; BCKDH phosphatase; 3-hydroxy 3-methylglutaryl coenzymeA reductase phosphatase; HMG-CoA reductase phosphatase; phosphatase H-II; phosphatase III; phosphatase I; protein phosphatase; phosphatase IV; phosphoprotein phosphohydrolase
V1364807	ec:1.11.1.15	 peroxiredoxin; thioredoxin peroxidase; tryparedoxin peroxidase; alkyl hydroperoxide reductase C22; AhpC; TrxPx; TXNPx; Prx; PRDX
V1042447	ec:4.3.2.2	 adenylosuccinate lyase; adenylosuccinase; succino AMP-lyase; 6-N-(1,2-dicarboxyethyl)AMP AMP-lyase; 6-N-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)
V1015123	ec:6.1.1.18	 glutamine---tRNA ligase; glutaminyl-tRNA synthetase; glutaminyl-transfer RNA synthetase; glutaminyl-transfer ribonucleate synthetase; glutamine-tRNA synthetase; glutamine translase; glutamate-tRNA ligase; glutaminyl ribonucleic acid; GlnRS
V1102142	ec:1.3.99.22	 Transferred to 1.3.98.3
V1037601	ec:2.2.1.6	 acetolactate synthase; alpha-acetohydroxy acid synthetase; alpha-acetohydroxyacid synthase; alpha-acetolactate synthase; alpha-acetolactate synthetase; acetohydroxy acid synthetase; acetohydroxyacid synthase; acetolactate pyruvate-lyase (carboxylating); acetolactic synthetase ec:4.1.3.18 Transferred to 2.2.1.6
V1013252	ec:2.6.1.39	 2-aminoadipate transaminase; alpha-aminoadipate aminotransferase; 2-aminoadipate aminotransferase; 2-aminoadipic aminotransferase; glutamic-ketoadipic transaminase; glutamate-alpha-ketoadipate transaminase
V1820375	ec:1.1.1.205	 IMP dehydrogenase; inosine-5'-phosphate dehydrogenase; inosinic acid dehydrogenase; inosinate dehydrogenase; inosine 5'-monophosphate dehydrogenase; inosine monophosphate dehydrogenase; IMP oxidoreductase; inosine monophosphate oxidoreductase ec:1.2.1.14 Transferred to 1.1.1.205
