Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1000004	; RNAP_alpha_NTD	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal	; 5' to 3' exonuclease; RNA Polymerase Alpha Subunit; Chain A	; DNA-directed RNA polymerase subunit alpha [rpoA].	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal				; Bacterial RNA polymerase, alpha chain C terminal domain; RNA polymerase Rpb3/Rpb11 dimerisation domain; RNA polymerase Rpb3/RpoA insert domain	; RNA POLYMERASE ALPHA DNA-DIRECTED SUBUNIT CHAIN NUCLEOTIDYLTRANSFERASE TRANSFERASE TRANSCRIPTION TRANSCRIPTASE				; RNA polymerases D	; C-terminal domain of RNA polymerase alpha subunit; Insert subdomain of RNA polymerase alpha subunit; RBP11-like subunits of RNA polymerase; RBP11-like subunits of RNA polymerase	;  DNA-directed RNA polymerase, alpha subunit
V1358422	; RaiA	; Ribosomal protein S30Ae/sigma 54 modulation protein; Sigma 54 modulation/S30EA ribosomal protein, C-terminal			; Ribosomal protein S30Ae/sigma 54 modulation protein; Sigma 54 modulation/S30EA ribosomal protein, C-terminal				; Sigma 54 modulation protein / S30EA ribosomal protein; Sigma 54 modulation/S30EA ribosomal protein C terminus						; Ribosome binding protein Y (YfiA homologue)	;  ribosomal subunit interface protein
V1000886		; Solute-binding family 1, conserved site	; Periplasmic binding protein-like II		; Solute-binding family 1, conserved site				; Bacterial extracellular solute-binding protein		; Bacterial extracellular solute-binding proteins, family 1 signature.	; Prokaryotic membrane lipoprotein lipid attachment site profile.			; Periplasmic binding protein-like II	
V1000116	; Pyruvate_Kinase	; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Phosphohistidine domains of PEP-utilising enzymes; PK beta-barrel domain-like; Phosphoenolpyruvate-binding domains; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain			; Pyruvate kinase family signature	; PEP-utilising enzyme, mobile domain; Pyruvate kinase, alpha/beta domain; Pyruvate kinase, barrel domain						; PK beta-barrel domain-like; PK C-terminal domain-like; Phosphoenolpyruvate/pyruvate domain; Phosphoenolpyruvate/pyruvate domain	;  pyruvate kinase
V1430275	; F1-ATPase_beta	; AAA+ ATPase domain; ATP synthase, F1 complex, beta subunit; ATPase, F1/V1 complex, beta subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase	; Bovine Mitochondrial F1-atpase; Atp Synthase Beta Chain; Chain D; P-loop containing nucleotide triphosphate hydrolases	; ATP synthase subunit beta [atpB].	; AAA+ ATPase domain; ATP synthase, F1 complex, beta subunit; ATPase, F1/V1 complex, beta subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase				; ATP synthase alpha/beta family, beta-barrel domain; ATP synthase alpha/beta family, nucleotide-binding domain		; ATP synthase alpha and beta subunits signature.			; ATPases associated with a variety of cellular activities	; P-loop containing nucleoside triphosphate hydrolases; N-terminal domain of alpha and beta subunits of F1 ATP synthase; C-terminal domain of alpha and beta subunits of F1 ATP synthase	;  ATP synthase F1, beta subunit
V1000943	; Ribosomal_L11	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12	; Ribosomal protein L11	; 50S ribosomal protein L11 [rplK].	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12				; Ribosomal protein L11, N-terminal domain; Ribosomal protein L11, RNA binding domain	; RIBOSOMAL RIBONUCLEOPROTEIN L11 RRNA-BINDING RNA-BINDING METHYLATION 50S L11 BACTERIAL CHLOROPLAST	; Ribosomal protein L11 signature.			; Ribosomal protein L11/L12	; Ribosomal protein L11, C-terminal domain; Ribosomal L11/L12e N-terminal domain	;  ribosomal protein uL11
V1431607		; Ribosomal protein L21; Ribosomal protein L21, conserved site; Ribosomal protein L21-like		; 50S ribosomal protein L21 [rplU].	; Ribosomal protein L21; Ribosomal protein L21, conserved site; Ribosomal protein L21-like				; Ribosomal prokaryotic L21 protein		; Ribosomal protein L21 signature.				; L21p-like	;  ribosomal protein bL21
V1000596	; GroEL	; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain	; GROEL; GROEL; GroEL	; 60 kDa chaperonin [groL].	; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain			; 60kDa chaperonin signature	; TCP-1/cpn60 chaperonin family		; Chaperonins cpn60 signature.				; GroEL apical domain-like; GroEL equatorial domain-like; GroEL equatorial domain-like	;  chaperonin GroL
V1481435		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Phosphohistidine domains of PEP-utilising enzymes; Enzyme I of the PEP; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain		; (Full) phosphoenolpyruvate-protein phosphotransferase	; Phosphoenolpyruvate-protein phosphotransferase signature	; PEP-utilising enzyme, N-terminal; PEP-utilising enzyme, TIM barrel domain; PEP-utilising enzyme, mobile domain		; PEP-utilizing enzymes phosphorylation site signature.; PEP-utilizing enzymes signature 2.				; Phosphoenolpyruvate/pyruvate domain; Phosphohistidine domain; Enzyme I of the PEP	;  phosphoenolpyruvate-protein phosphotransferase
V1000548	; HAD_like	; Beta-phosphoglucomutase; Beta-phosphoglucomutase hydrolase; HAD hydrolase, subfamily IA; HAD-like domain; Phosphoglycolate phosphatase, domain 2	; Putative phosphatase; domain 2		; Beta-phosphoglucomutase; Beta-phosphoglucomutase hydrolase; HAD hydrolase, subfamily IA; HAD-like domain; Phosphoglycolate phosphatase, domain 2			; Haloacid dehalogenase/epoxide hydrolase family signature	; Haloacid dehalogenase-like hydrolase						; HAD-like	;  HAD hydrolase, family IA, variant 3;  beta-phosphoglucomutase family hydrolase;  beta-phosphoglucomutase
V1000640	; Phosphoglycerate_kinase	; Phosphoglycerate kinase; Phosphoglycerate kinase, C-terminal; Phosphoglycerate kinase, N-terminal; Phosphoglycerate kinase, conserved site		; Phosphoglycerate kinase [pgk].	; Phosphoglycerate kinase; Phosphoglycerate kinase, C-terminal; Phosphoglycerate kinase, N-terminal; Phosphoglycerate kinase, conserved site		; (Full) phosphoglycerate kinase	; Phosphoglycerate kinase family signature	; Phosphoglycerate kinase		; Phosphoglycerate kinase signature.				; Phosphoglycerate kinase	
V1195882	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase
V1886336	; PTS-HPr_like	; Phosphocarrier protein HPr-like; Phosphotransferase system, HPr histidine phosphorylation site; Phosphotransferase system, HPr serine phosphorylation site			; Phosphocarrier protein HPr-like; Phosphotransferase system, HPr histidine phosphorylation site; Phosphotransferase system, HPr serine phosphorylation site			; Phosphocarrier protein signature	; PTS HPr component phosphorylation site		; PTS HPR domain histidine phosphorylation site signature.; PTS HPR domain serine phosphorylation site signature.	; PTS HPR domain profile.			; HPr-like	;  phosphocarrier, HPr family
V1339929	; HicDH_like	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain	; L-2-Hydroxyisocaproate Dehydrogenase; NAD(P)-binding Rossmann-like Domain	; L-lactate dehydrogenase [ldh].	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain		; (Full) L-lactate/malate dehydrogenase	; L-lactate dehydrogenase signature	; lactate/malate dehydrogenase, NAD binding domain; lactate/malate dehydrogenase, alpha/beta C-terminal domain		; L-lactate dehydrogenase active site.				; NAD(P)-binding Rossmann-fold domains; LDH C-terminal domain-like	;  L-lactate dehydrogenase
V1000305	; enolase	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site	; Enolase superfamily; Enolase-like	; Enolase [eno].	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site		; (Full) enolase	; Enolase signature	; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal domain		; Enolase signature.		; Enolase	; Enolase, C-terminal TIM barrel domain ; Enolase, N-terminal domain 	; Enolase N-terminal domain-like; Enolase C-terminal domain-like	;  phosphopyruvate hydratase
V1164548	; RNAP_beta'_C; RNAP_beta'_N	; DNA-directed RNA polymerase, subunit beta-prime; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5; RNA polymerase, N-terminal; RNA polymerase, alpha subunit		; DNA-directed RNA polymerase subunit beta' [rpoC].	; DNA-directed RNA polymerase, subunit beta-prime; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5; RNA polymerase, N-terminal; RNA polymerase, alpha subunit				; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 2; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5					; RNA polymerase I subunit A N-terminus	; beta and beta-prime subunits of DNA dependent RNA-polymerase	;  DNA-directed RNA polymerase, beta' subunit
V1001368	; PTS_IIA_man; PTS_IIB_man	; PTS system mannose/sorbose specific IIA subunit; Phosphotransferase system, mannose-type IIA component; Phosphotransferase system, sorbose subfamily IIB component	; Fructose Permease		; PTS system mannose/sorbose specific IIA subunit; Phosphotransferase system, mannose-type IIA component; Phosphotransferase system, sorbose subfamily IIB component				; PTS system fructose IIA component; PTS system sorbose subfamily IIB component			; PTS_EIIA type-4 domain profile.; PTS_EIIB type-4 domain profile.			; PTS IIb component; PTS system fructose IIA component-like	
V1000527	; EF-G; EFG_mtEFG1_IV; EFG_mtEFG_C; EFG_mtEFG_II	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain	; Elongation Factor G (Translational Gtpase); P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor G [fusA].	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation Factor G, domain II; Elongation factor G C-terminus; Elongation factor G, domain IV; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.		; Elongation factor G, domain IV; Elongation factor G C-terminus	; EF-G C-terminal domain-like; EF-G C-terminal domain-like; Ribosomal protein S5 domain 2-like; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor G;  small GTP-binding protein domain
V1000638		; Sugar-binding domain, putative; Winged helix-turn-helix DNA-binding domain	; winged helix repressor DNA binding domain		; Sugar-binding domain, putative; Winged helix-turn-helix DNA-binding domain				; Putative sugar-binding domain						; Winged helix DNA-binding domain; NagB/RpiA/CoA transferase-like	
V1912442	; Bacterial_PFK	; ATP-dependent 6-phosphofructokinase; ATP-dependent 6-phosphofructokinase, prokaryotic; ATP-dependent 6-phosphofructokinase, prokaryotic-type; Phosphofructokinase domain; Phosphofructokinase, conserved site		; ATP-dependent 6-phosphofructokinase [pfkA].	; ATP-dependent 6-phosphofructokinase; ATP-dependent 6-phosphofructokinase, prokaryotic; ATP-dependent 6-phosphofructokinase, prokaryotic-type; Phosphofructokinase domain; Phosphofructokinase, conserved site		; (Full/Desc.) ATP-dependent phosphofructokinase, prokaryotic type	; ATP-dependent phosphofructokinase family signature	; Phosphofructokinase		; Phosphofructokinase signature.				; Phosphofructokinase	;  6-phosphofructokinase
V1836804	; LysRS_N; LysRS_core	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	; Nucleic acid-binding proteins; Bira Bifunctional Protein; Domain 2	; Lysine--tRNA ligase [lysS].	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type			; Lysyl-tRNA synthetase signature	; OB-fold nucleic acid binding domain; tRNA synthetases class II (D, K and N)			; Aminoacyl-transfer RNA synthetases class-II family profile.			; Nucleic acid-binding proteins; Class II aaRS and biotin synthetases	;  lysine--tRNA ligase
V1000475		; Protein of unknown function DUF1827	; Streptococcus thermophilus LMG 18311 protein like		; Protein of unknown function DUF1827				; Domain of unknown function (DUF1827)							
V1340131		; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like		; Probable transcriptional regulatory protein YebC [yebC].	; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like	; consensus disorder prediction			; Transcriptional regulator						; YebC-like	;  DNA-binding regulatory protein, YebC/PmpR family
V1033881		; Enolase C-terminal domain-like; Enolase, C-terminal TIM barrel domain; LPPG:FO 2-phospho-L-lactate transferase CofD/UPF0052	; Nucleotide-binding domain of ferredoxin-NADP reductase (FNR) module; Enolase superfamily		; Enolase C-terminal domain-like; Enolase, C-terminal TIM barrel domain; LPPG:FO 2-phospho-L-lactate transferase CofD/UPF0052				; Enolase, C-terminal TIM barrel domain; Uncharacterised protein family UPF0052						; Enolase C-terminal domain-like	
V1392216		; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain	; GROEL; GroEL		; Chaperonin Cpn60; Chaperonin Cpn60, conserved site; Chaperonin Cpn60/TCP-1 family; GroEL-like apical domain; GroEL-like equatorial domain			; 60kDa chaperonin signature	; TCP-1/cpn60 chaperonin family		; Chaperonins cpn60 signature.				; GroEL apical domain-like; GroEL equatorial domain-like	
V1565357						; consensus disorder prediction										
V1836823		; Protein of unknown function DUF956			; Protein of unknown function DUF956		; (Full) glucose/mannose PTS protein ManO		; Domain of unknown function (DUF956)							
