Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1016073		; Minor spike protein			; Minor spike protein		; (Full) minor spike protein, Enterobacteria phage type		; Microvirus H protein (pilot protein)	; H SPIKE MINOR PILOT CAPSID STRUCTURAL S13 GENOME BACTERIOPHAGE						
V1503141		; YSIRK Gram-positive signal peptide			; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide			; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain;  gram-positive signal peptide, YSIRK family
V1164548	; RNAP_beta'_C; RNAP_beta'_N	; DNA-directed RNA polymerase, subunit beta-prime; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5; RNA polymerase, N-terminal; RNA polymerase, alpha subunit		; DNA-directed RNA polymerase subunit beta' [rpoC].	; DNA-directed RNA polymerase, subunit beta-prime; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5; RNA polymerase, N-terminal; RNA polymerase, alpha subunit				; RNA polymerase Rpb1, domain 1; RNA polymerase Rpb1, domain 2; RNA polymerase Rpb1, domain 3; RNA polymerase Rpb1, domain 4; RNA polymerase Rpb1, domain 5					; RNA polymerase I subunit A N-terminus	; beta and beta-prime subunits of DNA dependent RNA-polymerase	;  DNA-directed RNA polymerase, beta' subunit
V1565357						; consensus disorder prediction										
V1481433		; Cadherin-like; Immunoglobulin-like fold	; Immunoglobulins		; Cadherin-like; Immunoglobulin-like fold	; consensus disorder prediction						; Gram-positive cocci surface proteins LPxTG motif profile.			; Cadherin-like	;  LPXTG cell wall anchor domain
V1000079	; TOP4c	; Arginine repressor C-terminal-like domain; DNA gyrase, subunit A; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA topoisomerase, type IIA-like domain	; GyrA/ParC C-terminal domain-like ; Topoisomerase II; Topoisomerase II	; DNA gyrase subunit A [gyrA].	; Arginine repressor C-terminal-like domain; DNA gyrase, subunit A; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA topoisomerase, type IIA-like domain				; DNA gyrase C-terminal domain, beta-propeller; DNA gyrase/topoisomerase IV, subunit A					; DNA Topoisomerase IV	; GyrA/ParC C-terminal domain-like; Type II DNA topoisomerase	;  DNA gyrase, A subunit
V1035134		; Duplicated hybrid motif; Peptidase M23	; Glucose Permease (Domain IIA)		; Duplicated hybrid motif; Peptidase M23	; consensus disorder prediction			; Peptidase family M23						; Duplicated hybrid motif	
V1464532	; TOPRIM_TopoIA_TopoIII	; DNA topoisomerase, type IA; DNA topoisomerase, type IA, DNA-binding domain; DNA topoisomerase, type IA, central; DNA topoisomerase, type IA, central region, subdomain 1; DNA topoisomerase, type IA, central region, subdomain 3; DNA topoisomerase, type IA, core domain; DNA topoisomerase, type IA, domain 2; Toprim domain	; Topoisomerase I; Topoisomerase I; Topoisomerase I		; DNA topoisomerase, type IA; DNA topoisomerase, type IA, DNA-binding domain; DNA topoisomerase, type IA, central; DNA topoisomerase, type IA, central region, subdomain 1; DNA topoisomerase, type IA, central region, subdomain 3; DNA topoisomerase, type IA, core domain; DNA topoisomerase, type IA, domain 2; Toprim domain			; Prokaryotic DNA topoisomerase I signature	; DNA topoisomerase; Toprim domain			; Toprim domain profile.		; Bacterial DNA topoisomeraes I ATP-binding domain; Bacterial DNA topoisomerase I DNA-binding domain; 	; Prokaryotic type I DNA topoisomerase	
V1001468	; Anticodon_Ia_Leu_BEm; LeuRS_core	; Aminoacyl-tRNA synthetase, class I, conserved site; Aminoacyl-tRNA synthetase, class Ia; Aminoacyl-tRNA synthetase, class Ia, anticodon-binding; Leucine-tRNA ligase; Leucyl-tRNA synthetase, editing domain; Methionyl/Leucyl tRNA synthetase; Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding; Rossmann-like alpha/beta/alpha sandwich fold; Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain	; HUPs; HUPs; Isoleucyl-tRNA Synthetase; Domain 1; Isoleucyl-tRNA Synthetase; Domain 2	; Leucine--tRNA ligase [leuS].	; Aminoacyl-tRNA synthetase, class I, conserved site; Aminoacyl-tRNA synthetase, class Ia; Aminoacyl-tRNA synthetase, class Ia, anticodon-binding; Leucine-tRNA ligase; Leucyl-tRNA synthetase, editing domain; Methionyl/Leucyl tRNA synthetase; Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding; Rossmann-like alpha/beta/alpha sandwich fold; Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain			; Leucyl-tRNA synthetase signature	; Anticodon-binding domain of tRNA; Leucyl-tRNA synthetase, Domain 2; tRNA synthetases class I (I, L, M and V); tRNA synthetases class I (M)		; Aminoacyl-transfer RNA synthetases class-I signature.				; ValRS/IleRS/LeuRS editing domain; Nucleotidylyl transferase; Nucleotidylyl transferase; Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases	;  leucine--tRNA ligase
V1464571	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Cytochrome Bc1 Complex; Chain A; P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; Metalloenzyme, LuxS/M16 peptidase-like; P-loop containing nucleoside triphosphate hydrolase; Peptidase M16 domain; Peptidase M16, N-terminal; Peptidase M16, zinc-binding site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2; Insulinase (Peptidase family M16)		; Insulinase family, zinc-binding region signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; LuxS/MPP-like metallohydrolase; P-loop containing nucleoside triphosphate hydrolases; Translation proteins; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain	;  translation elongation factor Tu
V1046739		; S-adenosyl-L-methionine-dependent methyltransferase	; Vaccinia Virus protein VP39		; S-adenosyl-L-methionine-dependent methyltransferase										; S-adenosyl-L-methionine-dependent methyltransferases	
V1541158		; Capsid/spike protein, ssDNA virus; Major spike protein G; Viral coat protein subunit			; Capsid/spike protein, ssDNA virus; Major spike protein G; Viral coat protein subunit		; (Full) major spike protein G		; Major spike protein (G protein)	; MAJOR G SPIKE CAPSID STRUCTURAL GPG 3D-STRUCTURE DIRECT SEQUENCING S13					; ssDNA viruses	
V1000534	; HP_PGM_like	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site	; Phosphoglycerate mutase-like	; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [gpmA].	; Histidine phosphatase superfamily; Histidine phosphatase superfamily, clade-1; Phosphoglycerate mutase 1; Phosphoglycerate/bisphosphoglycerate mutase, active site				; Histidine phosphatase superfamily (branch 1)		; Phosphoglycerate mutase family phosphohistidine signature.			; Phosphoglycerate mutase family	; Phosphoglycerate mutase-like	;  phosphoglycerate mutase 1 family
V1000639		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain	; NAD(P)-binding Rossmann-like Domain; Dihydrodipicolinate Reductase; domain 2		; Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain; Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; Glyceraldehyde-3-phosphate dehydrogenase, type I; Glyceraldehyde/Erythrose phosphate dehydrogenase family; NAD(P)-binding domain		; (Full) glyceraldehyde-3-phosphate dehydrogenase	; Glyceraldehyde-3-phosphate dehydrogenase signature	; Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain					; Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	; NAD(P)-binding Rossmann-fold domains; Glyceraldehyde-3-phosphate dehydrogenase-like, C-terminal domain	;  glyceraldehyde-3-phosphate dehydrogenase, type I
V1836804	; LysRS_N; LysRS_core	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	; Nucleic acid-binding proteins; Bira Bifunctional Protein; Domain 2	; Lysine--tRNA ligase [lysS].	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type			; Lysyl-tRNA synthetase signature	; OB-fold nucleic acid binding domain; tRNA synthetases class II (D, K and N)			; Aminoacyl-transfer RNA synthetases class-II family profile.			; Nucleic acid-binding proteins; Class II aaRS and biotin synthetases	;  lysine--tRNA ligase
V1204231		; Adhesion domain; Fibrinogen-binding domain 2; Fibrogen-binding domain 1; MucBP domain			; Adhesion domain; Fibrinogen-binding domain 2; Fibrogen-binding domain 1; MucBP domain	; consensus disorder prediction			; C-terminus of bacterial fibrinogen-binding adhesin; MucBP domain						; Bacterial adhesins; Bacterial adhesins	
V1150430		; Immunoglobulin-like fold; YSIRK Gram-positive signal peptide	; Immunoglobulins		; Immunoglobulin-like fold; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide			; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain
V1445551		; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide			; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Rib/alpha-like repeat; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family;  Rib/alpha/Esp surface antigen repeat
V1000301	; ACT_RelA-SpoT; HDc; NT_Rel-Spo_like; TGS_RelA_SpoT	; ACT domain; Beta-grasp domain; HD/PDEase domain; RelA, TGS domain; RelA/SpoT; RelA/SpoT family; TGS; TGS-like	; Beta Polymerase		; ACT domain; Beta-grasp domain; HD/PDEase domain; RelA, TGS domain; RelA/SpoT; RelA/SpoT family; TGS; TGS-like				; ACT domain; HD domain; Region found in RelA / SpoT proteins; TGS domain			; ACT domain profile.		; Region found in RelA / SpoT proteins; Metal dependent phosphohydrolases with conserved 'HD' motif.	; Nucleotidyltransferase; ACT-like; TGS-like; HD-domain/PDEase-like	;  RelA/SpoT family protein
V1836803		; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide			; SLAP domain, Lactobacillus; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Bacterial surface layer protein; YSIRK type signal peptide							;  gram-positive signal peptide, YSIRK family
V1034906		; MucBP domain	; Putative peptidoglycan bound protein (lpxtg motif); Putative peptidoglycan bound protein (lpxtg motif); Putative peptidoglycan bound protein (lpxtg motif); Putative peptidoglycan bound protein (lpxtg motif)		; MucBP domain	; consensus disorder prediction			; MucBP domain							
V1851965		; Phage infection protein, YhgE, C-terminal; Phage infection protein, YhgE, N-terminal			; Phage infection protein, YhgE, C-terminal; Phage infection protein, YhgE, N-terminal				; ABC-2 family transporter protein						; Adhesin YadA, collagen-binding domain	;  YhgE/Pip C-terminal domain;  YhgE/Pip N-terminal domain
V1298012	; DEXDc	; Helicase superfamily 1/2, ATP-binding domain; Helicase/UvrB, N-terminal; P-loop containing nucleoside triphosphate hydrolase; Restriction endonuclease, type I, HsdR; Restriction endonuclease, type I, HsdR, N-terminal; Type-1 restriction enzyme R protein, C-terminal	; P-loop containing nucleotide triphosphate hydrolases		; Helicase superfamily 1/2, ATP-binding domain; Helicase/UvrB, N-terminal; P-loop containing nucleoside triphosphate hydrolase; Restriction endonuclease, type I, HsdR; Restriction endonuclease, type I, HsdR, N-terminal; Type-1 restriction enzyme R protein, C-terminal				; Type I restriction and modification enzyme - subunit R C terminal; Type I restriction enzyme R protein N terminus (HSDR_N); Type III restriction enzyme, res subunit			; Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.		; DEAD-like helicases superfamily	; P-loop containing nucleoside triphosphate hydrolases	;  type I site-specific deoxyribonuclease, HsdR family
V1136952		; DNA methylase N-4/N-6; DNA methylase, N-6 adenine-specific, conserved site; N6 adenine-specific DNA methyltransferase, D21 class; Restriction/modification DNA-methylase; S-adenosyl-L-methionine-dependent methyltransferase; Type III restriction/modification enzyme methylation subunit	; Vaccinia Virus protein VP39; Vaccinia Virus protein VP39		; DNA methylase N-4/N-6; DNA methylase, N-6 adenine-specific, conserved site; N6 adenine-specific DNA methyltransferase, D21 class; Restriction/modification DNA-methylase; S-adenosyl-L-methionine-dependent methyltransferase; Type III restriction/modification enzyme methylation subunit	; consensus disorder prediction	; (Full) type III restriction-modification system methyltransferase, KpnI type	; S21 class N4 adenine-specific DNA methyltransferase signature	; DNA methylase; Type III restriction/modification enzyme methylation subunit		; N-6 Adenine-specific DNA methylases signature.				; S-adenosyl-L-methionine-dependent methyltransferases; S-adenosyl-L-methionine-dependent methyltransferases	
V1064200		; Alpha-glycerophosphate oxidase, C-terminal; FAD dependent oxidoreductase; FAD-dependent glycerol-3-phosphate dehydrogenase; FAD/NAD(P)-binding domain			; Alpha-glycerophosphate oxidase, C-terminal; FAD dependent oxidoreductase; FAD-dependent glycerol-3-phosphate dehydrogenase; FAD/NAD(P)-binding domain			; FAD-dependent glycerol-3-phosphate dehydrogenase family signature	; C-terminal domain of alpha-glycerophosphate oxidase; FAD dependent oxidoreductase		; FAD-dependent glycerol-3-phosphate dehydrogenase signature 1.				; FAD-linked reductases, C-terminal domain; FAD/NAD(P)-binding domain; FAD/NAD(P)-binding domain	
V1162285		; Domain of unknown function DUF5011; Leucine rich repeat 5; Listeria/Bacterioides repeat			; Domain of unknown function DUF5011; Leucine rich repeat 5; Listeria/Bacterioides repeat	; consensus disorder prediction			; Domain of unknown function (DUF5011); Leucine rich repeats (6 copies); Listeria-Bacteroides repeat domain (List_Bact_rpt)			; Prokaryotic membrane lipoprotein lipid attachment site profile.				;  LPXTG cell wall anchor domain
V1046766		; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide			; Rib/alpha/Esp surface antigen; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Rib/alpha-like repeat; YSIRK type signal peptide							;  LPXTG cell wall anchor domain;  gram-positive signal peptide, YSIRK family;  Rib/alpha/Esp surface antigen repeat
V1465413		; AAA+ ATPase domain; FtsK domain; FtsK gamma domain; P-loop containing nucleoside triphosphate hydrolase; Winged helix-turn-helix DNA-binding domain	; P-loop containing nucleotide triphosphate hydrolases		; AAA+ ATPase domain; FtsK domain; FtsK gamma domain; P-loop containing nucleoside triphosphate hydrolase; Winged helix-turn-helix DNA-binding domain	; consensus disorder prediction			; FtsK/SpoIIIE family; Ftsk gamma domain			; FtsK domain profile.		; ; ATPases associated with a variety of cellular activities	; Winged helix DNA-binding domain; P-loop containing nucleoside triphosphate hydrolases	
V1000074		; FAD/NAD(P)-binding domain; GidA associated domain 3; MnmG-related, conserved site; tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG; tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related		; tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG [mnmG].	; FAD/NAD(P)-binding domain; GidA associated domain 3; MnmG-related, conserved site; tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG; tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG-related	; consensus disorder prediction			; GidA associated domain; Glucose inhibited division protein A		; Glucose inhibited division protein A family signature 1.; Glucose inhibited division protein A family signature 2.			; GidA associated domain 3	; FAD/NAD(P)-binding domain; FAD/NAD(P)-binding domain	;  tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA
V1000502	; IMPDH	; Aldolase-type TIM barrel; IMP dehydrogenase / GMP reductase, conserved site; IMP dehydrogenase/GMP reductase	; Aldolase class I; Aldolase class I		; Aldolase-type TIM barrel; IMP dehydrogenase / GMP reductase, conserved site; IMP dehydrogenase/GMP reductase				; IMP dehydrogenase / GMP reductase domain		; IMP dehydrogenase / GMP reductase signature.			; IMP dehydrogenase / GMP reductase domain	; Inosine monophosphate dehydrogenase (IMPDH)	
V1000634	; ABC_UvrA_I; ABC_UvrA_II	; AAA+ ATPase domain; ABC transporter, conserved site; ABC transporter-like; ATP-grasp fold, subdomain 1; P-loop containing nucleoside triphosphate hydrolase; UvrABC system subunit A	; ABC transporter ATPase domain-like; ABC transporter ATPase  like domain; ABC transporter ATPase  like domain; ABC transporter ATPase  like domain; ABC transporter ATPase  like domain; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases; P-loop containing nucleotide triphosphate hydrolases; ATP-grasp fold; ATP-grasp fold	; UvrABC system protein A [uvrA].	; AAA+ ATPase domain; ABC transporter, conserved site; ABC transporter-like; ATP-grasp fold, subdomain 1; P-loop containing nucleoside triphosphate hydrolase; UvrABC system subunit A				; ABC transporter		; ABC transporters family signature.	; ATP-binding cassette, ABC transporter-type domain profile.		; ATPases associated with a variety of cellular activities	; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases; P-loop containing nucleoside triphosphate hydrolases	;  excinuclease ABC subunit A
V1204223		; Listeria/Bacterioides repeat; MucBP domain; YSIRK Gram-positive signal peptide			; Listeria/Bacterioides repeat; MucBP domain; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; Listeria-Bacteroides repeat domain (List_Bact_rpt); MucBP domain; YSIRK type signal peptide							;  LPXTG cell wall anchor domain;  repeat, TIGR02543 family;  gram-positive signal peptide, YSIRK family
V1000122	; EFTU_II; EFTU_III; EF_Tu	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain	; Translation factors; Translation factors; P-loop containing nucleotide triphosphate hydrolases	; Elongation factor Tu [tuf].	; Elongation factor Tu, domain 2; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal; Translation elongation factor EFTu-like, domain 2; Translation elongation factor EFTu/EF1A, C-terminal; Translation elongation factor EFTu/EF1A, bacterial/organelle; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation factor Tu C-terminal domain; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.			; EF-Tu/eEF-1alpha/eIF2-gamma C-terminal domain; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor Tu;  small GTP-binding protein domain
V1481459		; Immunoglobulin-like fold; YSIRK Gram-positive signal peptide	; Immunoglobulins		; Immunoglobulin-like fold; YSIRK Gram-positive signal peptide	; consensus disorder prediction			; YSIRK type signal peptide			; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain
V1064214		; Scaffold protein D	; Scaffolding protein gpD of bacteriophage procapsid		; Scaffold protein D				; Bacteriophage scaffolding protein D	; D SCAFFOLDING GPD 3D-STRUCTURE S13 GENOME MORPHOGENESIS CAPSID BACTERIOPHAGE					; Scaffolding protein gpD of bacteriophage procapsid	
V1150418		; Bacteriophage terminase, large subunit; Terminase large subunit, T4likevirus-type			; Bacteriophage terminase, large subunit; Terminase large subunit, T4likevirus-type				; Terminase-like family							;  phage terminase, large subunit, PBSX family
V1552718	; ABC_MutS1	; DNA mismatch repair protein MutS, C-terminal; DNA mismatch repair protein MutS, N-terminal; DNA mismatch repair protein MutS, clamp; DNA mismatch repair protein MutS, connector domain; DNA mismatch repair protein MutS, core; DNA mismatch repair protein MutS, type 1; DNA mismatch repair protein MutS-like, N-terminal; P-loop containing nucleoside triphosphate hydrolase	; DNA repair protein MutS; DNA repair protein MutS; P-loop containing nucleotide triphosphate hydrolases	; DNA mismatch repair protein MutS [mutS].	; DNA mismatch repair protein MutS, C-terminal; DNA mismatch repair protein MutS, N-terminal; DNA mismatch repair protein MutS, clamp; DNA mismatch repair protein MutS, connector domain; DNA mismatch repair protein MutS, core; DNA mismatch repair protein MutS, type 1; DNA mismatch repair protein MutS-like, N-terminal; P-loop containing nucleoside triphosphate hydrolase				; MutS domain I; MutS domain II; MutS domain III; MutS domain V; MutS family domain IV		; DNA mismatch repair proteins mutS family signature.			; DNA-binding domain of DNA mismatch repair MUTS family; ATPase domain of DNA mismatch repair MUTS family	; DNA repair protein MutS, domain III; P-loop containing nucleoside triphosphate hydrolases; DNA repair protein MutS, domain II; DNA repair protein MutS, domain I	;  DNA mismatch repair protein MutS
V1000627	; HDc	; HD domain; HD/PDEase domain; HDIG domain; K Homology domain; K Homology domain, type 1; Ribonuclease Y; Ribonuclease Y, N-terminal	; Hypothetical protein af1432	; Ribonuclease Y [rny].	; HD domain; HD/PDEase domain; HDIG domain; K Homology domain; K Homology domain, type 1; Ribonuclease Y; Ribonuclease Y, N-terminal				; Domain of unknown function (DUF3552); HD domain; KH domain			; Type-1 KH domain profile.		; K homology RNA-binding domain; Metal dependent phosphohydrolases with conserved 'HD' motif.	; Eukaryotic type KH-domain (KH-domain type I); HD-domain/PDEase-like	;  HDIG domain;  ribonuclease Y
V1000642	; enolase	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site	; Enolase superfamily; Enolase-like	; Enolase [eno].	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site		; (Full) enolase	; Enolase signature	; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal domain		; Enolase signature.		; Enolase	; Enolase, N-terminal domain ; Enolase, C-terminal TIM barrel domain 	; Enolase N-terminal domain-like; Enolase C-terminal domain-like	;  phosphopyruvate hydratase
V1257303	; ParM_like														; Actin-like ATPase domain; Actin-like ATPase domain	
V1522031	; M20_ArgE_DapE_like	; ArgE/DapE/ACY1/CPG2/YscS, conserved site; N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase/Succinyl-diaminopimelate desuccinylase; Peptidase M20; Peptidase M20, dimerisation domain	; Zn peptidases; Zn peptidases		; ArgE/DapE/ACY1/CPG2/YscS, conserved site; N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase/Succinyl-diaminopimelate desuccinylase; Peptidase M20; Peptidase M20, dimerisation domain				; Peptidase dimerisation domain; Peptidase family M20/M25/M40		; ArgE / dapE / ACY1 / CPG2 / yscS family signature 1.				; Bacterial exopeptidase dimerisation domain; Zn-dependent exopeptidases; Zn-dependent exopeptidases	;  peptidase, ArgE/DapE family
