Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1032670		; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like		; Probable transcriptional regulatory protein YebC [yebC].	; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like	; consensus disorder prediction			; Transcriptional regulator						; YebC-like	;  DNA-binding regulatory protein, YebC/PmpR family
V1884596	; SSB_OBF; bS6	; Nucleic acid-binding, OB-fold; Primosome PriB/single-strand DNA-binding; Ribosomal protein S6; Single-stranded DNA-binding protein; Translation elongation factor EF1B/ribosomal protein S6	; Nucleic acid-binding proteins; Nucleic acid-binding proteins	; Single-stranded DNA-binding protein.	; Nucleic acid-binding, OB-fold; Primosome PriB/single-strand DNA-binding; Ribosomal protein S6; Single-stranded DNA-binding protein; Translation elongation factor EF1B/ribosomal protein S6				; Ribosomal protein S6; Single-strand binding protein family			; Single-strand binding (SSB) domain profile.			; Nucleic acid-binding proteins; Ribosomal protein S6	;  ribosomal protein bS6;  single-stranded DNA-binding protein
V1033464		; Glutamine synthetase type I; Glutamine synthetase, N-terminal conserved site; Glutamine synthetase, beta-Grasp domain; Glutamine synthetase, catalytic domain; Glutamine synthetase, glycine-rich site; Glutamine synthetase/guanido kinase, catalytic domain	; Glutamine synthetase/guanido kinase; Glutamine synthetase		; Glutamine synthetase type I; Glutamine synthetase, N-terminal conserved site; Glutamine synthetase, beta-Grasp domain; Glutamine synthetase, catalytic domain; Glutamine synthetase, glycine-rich site; Glutamine synthetase/guanido kinase, catalytic domain				; Glutamine synthetase, beta-Grasp domain; Glutamine synthetase, catalytic domain		; Glutamine synthetase putative ATP-binding region signature.; Glutamine synthetase signature 1.			; Glutamine synthetase, catalytic domain	; Glutamine synthetase/guanido kinase; Glutamine synthetase, N-terminal domain	;  glutamine synthetase, type I
V1033629	; HSPA9-Ssq1-like_NBD	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain	; Actin; Chain A; Substrate Binding Domain Of DNAk; Chain A	; Chaperone protein DnaK [dnaK].	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain	; consensus disorder prediction		; 70kDa heat shock protein signature	; Hsp70 protein		; Heat shock hsp70 proteins family signature 1.; Heat shock hsp70 proteins family signature 2.; Heat shock hsp70 proteins family signature 3.				; Heat shock protein 70kD (HSP70), peptide-binding domain; Actin-like ATPase domain; Heat shock protein 70kD (HSP70), C-terminal subdomain; Actin-like ATPase domain	;  chaperone protein DnaK
V1684120		; Foldase protein PrsA; Peptidyl-prolyl cis-trans isomerase, PpiC-type; Trigger factor/SurA domain		; Foldase protein PrsA [prsA].	; Foldase protein PrsA; Peptidyl-prolyl cis-trans isomerase, PpiC-type; Trigger factor/SurA domain				; PPIC-type PPIASE domain			; PpiC-type peptidyl-prolyl cis-trans isomerase family profile.; Prokaryotic membrane lipoprotein lipid attachment site profile.			; Triger factor/SurA peptide-binding domain-like; FKBP-like	
V1047042		; SLAP domain, Lactobacillus			; SLAP domain, Lactobacillus	; consensus disorder prediction			; Bacterial surface layer protein							
V1886005		; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein signature	; Bacterial surface layer protein							
V1033091	; Ribosomal_L13	; Ribosomal protein L13; Ribosomal protein L13, bacterial-type; Ribosomal protein L13, conserved site		; 50S ribosomal protein L13 [rplM].	; Ribosomal protein L13; Ribosomal protein L13, bacterial-type; Ribosomal protein L13, conserved site		; (Full) ribosomal protein, L13p/L13Aa/L16e/organellar L13 types		; Ribosomal protein L13		; Ribosomal protein L13 signature.				; Ribosomal protein L13	;  ribosomal protein uL13
V1204587		; DNA repair protein XRCC4, C-terminal; DivIVA domain; DivIVA family; F-type ATP synthase subunit B-like, membrane domain	; F1F0 ATP synthase subunit B		; DNA repair protein XRCC4, C-terminal; DivIVA domain; DivIVA family; F-type ATP synthase subunit B-like, membrane domain	; consensus disorder prediction			; DivIVA protein						; Myosin rod fragments	;  DivIVA domain
V1872734	; Ribosomal_L11	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12	; Ribosomal protein L11	; 50S ribosomal protein L11 [rplK].	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12				; Ribosomal protein L11, N-terminal domain; Ribosomal protein L11, RNA binding domain	; RIBOSOMAL RIBONUCLEOPROTEIN L11 RRNA-BINDING RNA-BINDING METHYLATION 50S L11 BACTERIAL CHLOROPLAST	; Ribosomal protein L11 signature.			; Ribosomal protein L11/L12	; Ribosomal L11/L12e N-terminal domain; Ribosomal protein L11, C-terminal domain	;  ribosomal protein uL11
V1828860		; Gram-positive LPXTG cell wall anchor			; Gram-positive LPXTG cell wall anchor	; consensus disorder prediction			; Gram positive anchor			; Gram-positive cocci surface proteins LPxTG motif profile.				;  LPXTG cell wall anchor domain
V1032210		; Aldolase-type TIM barrel; Ribonucleoside-triphosphate reductase activating, anaerobic	; pyruvate-formate lyase- activating enzyme; Aldolase class I		; Aldolase-type TIM barrel; Ribonucleoside-triphosphate reductase activating, anaerobic	; consensus disorder prediction			; 4Fe-4S single cluster domain				; activating enzymes, group 1; anaerobic ribonucleoside-triphosphate reductase activase; organic radical-activating enzymes		; Radical SAM enzymes	;  anaerobic ribonucleoside-triphosphate reductase activating protein
V1033097	; MGS_CPS_II	; ATP-grasp fold; ATP-grasp fold, subdomain 1; ATP-grasp fold, subdomain 2; Carbamoyl-phosphate synthase large chain, methylglyoxal synthase-like domain; Carbamoyl-phosphate synthase large subunit, CPSase domain; Carbamoyl-phosphate synthase, large subunit; Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain; Carbamoyl-phosphate synthetase, large subunit oligomerisation domain; Methylglyoxal synthase-like domain; Pre-ATP-grasp domain	; ATP-grasp fold; ATP-grasp fold; ATP-grasp fold; ATP-grasp fold; Carbamoyl Phosphate Synthetase; Chain A	; Carbamoyl-phosphate synthase large chain [carB].	; ATP-grasp fold; ATP-grasp fold, subdomain 1; ATP-grasp fold, subdomain 2; Carbamoyl-phosphate synthase large chain, methylglyoxal synthase-like domain; Carbamoyl-phosphate synthase large subunit, CPSase domain; Carbamoyl-phosphate synthase, large subunit; Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain; Carbamoyl-phosphate synthetase, large subunit oligomerisation domain; Methylglyoxal synthase-like domain; Pre-ATP-grasp domain			; Carbamoyl-phosphate synthase protein CPSase domain signature	; Carbamoyl-phosphate synthase L chain, ATP binding domain; Carbamoyl-phosphate synthetase large chain, oligomerisation domain; MGS-like domain		; Carbamoyl-phosphate synthase subdomain signature 1.; Carbamoyl-phosphate synthase subdomain signature 2.	; ATP-grasp fold profile.		; Carbamoyl-phosphate synthetase large chain, oligomerisation domain; MGS-like domain; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain 	; PreATP-grasp domain; PreATP-grasp domain; Carbamoyl phosphate synthetase, large subunit connection domain; Glutathione synthetase ATP-binding domain-like; Glutathione synthetase ATP-binding domain-like; Methylglyoxal synthase-like	;  carbamoyl-phosphate synthase, large subunit
V1033096	; RNAP_alpha_NTD	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal	; RNA Polymerase Alpha Subunit; Chain A; 5' to 3' exonuclease	; DNA-directed RNA polymerase subunit alpha [rpoA].	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal				; Bacterial RNA polymerase, alpha chain C terminal domain; RNA polymerase Rpb3/Rpb11 dimerisation domain; RNA polymerase Rpb3/RpoA insert domain	; RNA POLYMERASE ALPHA DNA-DIRECTED SUBUNIT CHAIN NUCLEOTIDYLTRANSFERASE TRANSFERASE TRANSCRIPTION TRANSCRIPTASE				; RNA polymerases D	; Insert subdomain of RNA polymerase alpha subunit; RBP11-like subunits of RNA polymerase; RBP11-like subunits of RNA polymerase; C-terminal domain of RNA polymerase alpha subunit	;  DNA-directed RNA polymerase, alpha subunit
V1204335		; FMN-binding split barrel; Pyridoxamine 5'-phosphate oxidase-like, FMN-binding domain	; Electron Transport		; FMN-binding split barrel; Pyridoxamine 5'-phosphate oxidase-like, FMN-binding domain				; Pyridoxamine 5'-phosphate oxidase						; FMN-binding split barrel	
V1885172	; F1_ATPase_alpha	; ATP synthase subunit alpha-like domain; ATP synthase, F1 complex, alpha subunit; ATP synthase, F1 complex, alpha subunit nucleotide-binding domain; ATP synthase, alpha subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase	; P-loop containing nucleotide triphosphate hydrolases	; ATP synthase subunit alpha [atpA].	; ATP synthase subunit alpha-like domain; ATP synthase, F1 complex, alpha subunit; ATP synthase, F1 complex, alpha subunit nucleotide-binding domain; ATP synthase, alpha subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase		; (Full) ATP synthase subunit alpha		; ATP synthase alpha/beta chain, C terminal domain; ATP synthase alpha/beta family, beta-barrel domain; ATP synthase alpha/beta family, nucleotide-binding domain		; ATP synthase alpha and beta subunits signature.				; P-loop containing nucleoside triphosphate hydrolases; C-terminal domain of alpha and beta subunits of F1 ATP synthase; N-terminal domain of alpha and beta subunits of F1 ATP synthase	;  ATP synthase F1, alpha subunit
V1032341	; F1-ATPase_delta	; ATP synthase delta/epsilon subunit, C-terminal domain; ATP synthase, F1 complex, delta/epsilon subunit; ATP synthase, F1 complex, delta/epsilon subunit, N-terminal	; ATP Synthase; domain 1	; ATP synthase epsilon chain [atpC].	; ATP synthase delta/epsilon subunit, C-terminal domain; ATP synthase, F1 complex, delta/epsilon subunit; ATP synthase, F1 complex, delta/epsilon subunit, N-terminal				; ATP synthase, Delta/Epsilon chain, beta-sandwich domain; ATP synthase, Delta/Epsilon chain, long alpha-helix domain	; ATP SYNTHASE ION EPSILON SUBUNIT HYDROLASE CF1 SYNTHESIS CHAIN HYDROGEN					; Epsilon subunit of F1F0-ATP synthase N-terminal domain; Epsilon subunit of F1F0-ATP synthase C-terminal domain	;  ATP synthase F1, epsilon subunit
V1032333	; S4	; RNA-binding S4 domain; Ribosomal protein S4, bacterial-type; Ribosomal protein S4, conserved site; Ribosomal protein S4/S9, N-terminal	; Structural Genomics Hypothetical 15.5 Kd Protein In Mrca-pcka Intergenic Region; Chain; Ribosomal Protein S4 Delta 41; Chain A	; 30S ribosomal protein S4 [rpsD].	; RNA-binding S4 domain; Ribosomal protein S4, bacterial-type; Ribosomal protein S4, conserved site; Ribosomal protein S4/S9, N-terminal				; Ribosomal protein S4/S9 N-terminal domain; S4 domain		; Ribosomal protein S4 signature.	; S4 RNA-binding domain profile.		; S4 RNA-binding domain; Ribosomal protein S4/S9 N-terminal domain	; Alpha-L RNA-binding motif	;  ribosomal protein uS4
V1032620	; RNRR2	; Ferritin-like superfamily; Ribonucleoside reductase subunit beta, NrdF; Ribonucleotide reductase small subunit; Ribonucleotide reductase small subunit family; Ribonucleotide reductase-related	; Ribonucleotide Reductase		; Ferritin-like superfamily; Ribonucleoside reductase subunit beta, NrdF; Ribonucleotide reductase small subunit; Ribonucleotide reductase small subunit family; Ribonucleotide reductase-related				; Ribonucleotide reductase, small chain						; Ferritin-like	;  ribonucleoside-diphosphate reductase, class 1b, beta subunit
V1216924	; RNRR2	; DNA-binding HTH domain, TetR-type; Ferritin-like superfamily; Homeodomain-like; Ribonucleoside reductase subunit beta, NrdF; Ribonucleotide reductase small subunit; Ribonucleotide reductase small subunit family; Ribonucleotide reductase-related; Tetracycline transcriptional regulator, TetR; Tetracycline transcriptional regulator, TetR, C-terminal; Tetracycline transcriptional regulator, TetR-like, C-terminal; Tetracycline transcriptional regulator, TetR-related, C-terminal	; Ribonucleotide Reductase; Homeodomain-like; Tetracycline Repressor		; DNA-binding HTH domain, TetR-type; Ferritin-like superfamily; Homeodomain-like; Ribonucleoside reductase subunit beta, NrdF; Ribonucleotide reductase small subunit; Ribonucleotide reductase small subunit family; Ribonucleotide reductase-related; Tetracycline transcriptional regulator, TetR; Tetracycline transcriptional regulator, TetR, C-terminal; Tetracycline transcriptional regulator, TetR-like, C-terminal; Tetracycline transcriptional regulator, TetR-related, C-terminal			; TetR bacterial regulatory protein HTH signature; Tetracycline repressor protein signature	; Bacterial regulatory proteins, tetR family; Ribonucleotide reductase, small chain; Tetracyclin repressor, C-terminal all-alpha domain			; TetR-type HTH domain profile.			; Homeodomain-like; Tetracyclin repressor-like, C-terminal domain; Ferritin-like	;  ribonucleoside-diphosphate reductase, class 1b, beta subunit
V1033003		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Enzyme I of the PEP; Phosphohistidine domains of PEP-utilising enzymes; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain		; (Full) phosphoenolpyruvate-protein phosphotransferase	; Phosphoenolpyruvate-protein phosphotransferase signature	; PEP-utilising enzyme, N-terminal; PEP-utilising enzyme, TIM barrel domain; PEP-utilising enzyme, mobile domain		; PEP-utilizing enzymes phosphorylation site signature.; PEP-utilizing enzymes signature 2.				; Phosphoenolpyruvate/pyruvate domain; Enzyme I of the PEP; Phosphohistidine domain	;  phosphoenolpyruvate-protein phosphotransferase
V1033558	; Phosphoglycerate_kinase	; Phosphoglycerate kinase; Phosphoglycerate kinase, C-terminal; Phosphoglycerate kinase, N-terminal; Phosphoglycerate kinase, conserved site		; Phosphoglycerate kinase [pgk].	; Phosphoglycerate kinase; Phosphoglycerate kinase, C-terminal; Phosphoglycerate kinase, N-terminal; Phosphoglycerate kinase, conserved site		; (Full) phosphoglycerate kinase	; Phosphoglycerate kinase family signature	; Phosphoglycerate kinase		; Phosphoglycerate kinase signature.				; Phosphoglycerate kinase	
V1887290		; Translation initiation factor 3; Translation initiation factor 3, C-terminal; Translation initiation factor 3, N-terminal; Translation initiation factor 3, conserved site	; Translation initiation factor IF3; Translation Initiation Factor If3	; Translation initiation factor IF-3 [infC].	; Translation initiation factor 3; Translation initiation factor 3, C-terminal; Translation initiation factor 3, N-terminal; Translation initiation factor 3, conserved site				; Translation initiation factor IF-3, C-terminal domain; Translation initiation factor IF-3, N-terminal domain		; Initiation factor 3 signature.				; Translation initiation factor IF3, N-terminal domain; Translation initiation factor IF3, C-terminal domain	;  translation initiation factor IF-3
V1162957		; Lactobacillus surface layer protein; SLAP domain, Lactobacillus			; Lactobacillus surface layer protein; SLAP domain, Lactobacillus		; (Full) S-layer protein, Lactobacillus	; Lactobacillus surface layer protein signature	; Bacterial surface layer protein							
V1047208	; EF-G; EFG_mtEFG1_IV; EFG_mtEFG_C; EFG_mtEFG_II	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain	; P-loop containing nucleotide triphosphate hydrolases; Translation factors; Elongation Factor G (Translational Gtpase)	; Elongation factor G [fusA].	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation Factor G, domain II; Elongation factor G C-terminus; Elongation factor G, domain IV; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.		; Elongation factor G C-terminus; Elongation factor G, domain IV	; P-loop containing nucleoside triphosphate hydrolases; EF-G C-terminal domain-like; Ribosomal protein S5 domain 2-like; EF-G C-terminal domain-like; Translation proteins	;  translation elongation factor G;  small GTP-binding protein domain
V1002229		; Transposase DDE domain			; Transposase DDE domain				; Transposase DDE domain							
V1143661	; HDc	; HD domain; HD/PDEase domain; HDIG domain; K Homology domain; K Homology domain, type 1; Ribonuclease Y; Ribonuclease Y, N-terminal	; Hypothetical protein af1432	; Ribonuclease Y [rny].	; HD domain; HD/PDEase domain; HDIG domain; K Homology domain; K Homology domain, type 1; Ribonuclease Y; Ribonuclease Y, N-terminal	; consensus disorder prediction			; Domain of unknown function (DUF3552); HD domain; KH domain			; Type-1 KH domain profile.		; Metal dependent phosphohydrolases with conserved 'HD' motif.; K homology RNA-binding domain	; Eukaryotic type KH-domain (KH-domain type I); HD-domain/PDEase-like	;  HDIG domain;  ribonuclease Y
V1033501		; Ribosomal protein S20		; 30S ribosomal protein S20 [rpsT].	; Ribosomal protein S20	; consensus disorder prediction			; Ribosomal protein S20	; RIBOSOMAL S20 30S RRNA-BINDING RNA-BINDING RIBONUCLEOPROTEIN S20P SUBUNIT CHLOROPLAST DIRECT					; Ribosomal protein S20	;  ribosomal protein bS20
V1149190		; Uncharacterised protein family UPF0324, prokaryote			; Uncharacterised protein family UPF0324, prokaryote				; Conserved hypothetical protein 698							
V1032829	; S1_RPS1_repeat_ec2_hs2; S1_RPS1_repeat_ec3	; Nucleic acid-binding, OB-fold; RNA-binding domain, S1; Ribosomal protein S1; S1 domain	; Nucleic acid-binding proteins; Nucleic acid-binding proteins; Nucleic acid-binding proteins; Nucleic acid-binding proteins		; Nucleic acid-binding, OB-fold; RNA-binding domain, S1; Ribosomal protein S1; S1 domain			; Ribosomal protein S1 signature	; S1 RNA binding domain			; S1 domain profile.		; Ribosomal protein S1-like RNA-binding domain; Ribosomal protein S1-like RNA-binding domain; Ribosomal protein S1-like RNA-binding domain; Ribosomal protein S1-like RNA-binding domain	; Nucleic acid-binding proteins; Nucleic acid-binding proteins; Nucleic acid-binding proteins; Nucleic acid-binding proteins	
