Gene	category	Annotation	COGID
V1203355	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)	COG0484
V1000018	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)	COG0092
V1306539	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1006020	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	COG0090
V1073967	J	50s ribosomal protein L10	COG0244
V1000081	T	domain protein	COG3887
V1167440	G	glycoside hydrolase family 4	COG1486
V1392169	S	Protein of unknown function (DUF964)	0ZQU8
V1580955	O	Acts as a chaperone (By similarity)	COG0443
V1000317	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides (By similarity)	COG0782
V1553523	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1000596	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1577848	C	glycerophosphoryl diester phosphodiesterase	COG0584
V1553618	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins	COG0706
V1000845	G	phosphohexose isomerase	COG0166
V1000840	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1000001	J	30S ribosomal protein S9	COG0103
V1143837	S	Domain of unknown function (DUF956)	COG4687
V1360328	J	50S ribosomal protein L33	COG0267
V1574099	G	PTS System	COG3715
V1195882	G	Aldolase	COG0191
V1565357	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1364877	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	COG0355
V1851982	S	(ABC) transporter	COG0488
V1581637	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1576664	O	ATP-dependent CLP protease ATP-binding subunit	COG0542
V1299127	M	penicillin-binding protein	COG0768
V1000518	K	Transcriptional regulator	COG1737
V1000017	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)	COG0197
V1592992	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)	COG0008
V1000547	G	ABC transporter, ATP-binding protein	COG3839
V1000184	S	Bacteriophage peptidoglycan hydrolase 	0ZNE8
V1381099	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1420563	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0187
V1000021	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)	COG0087
V1000828	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1390055	S	NA	0Z8F5
V1880077	J	asparaginyl-tRNA synthetase	COG0017
V1573648	J	50S ribosomal protein l32	COG0333
V1033869	J	Elongation factor Tu GTP binding domain	COG0050
V1158426	G	PTS System	COG3715
V1882989	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1392006	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)	COG0335
V1519450	G	Aldolase	COG0191
V1356383	P	ABC transporter, permease	COG3833
V1033925	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1553668	M	defense response to bacterium	COG1705
V1000023	F	Phosphoribosyl pyrophosphate synthase	COG0462
V1144304	J	30S ribosomal protein S9	COG0103
V1615860	S	NA	101UU
V1423289	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1295109	S	Sulfhydryl-activated toxin that causes cytolysis by forming pores in cholesterol containing host membranes. After binding to target membranes, the protein undergoes a major conformation change, leading to its insertion in the host membrane and formation of an oligomeric pore complex. Cholesterol may be required for binding to host membranes, membrane insertion and pore formation. Can be reversibly inactivated by oxidation	0XQPX
V1432502	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)	COG0231
V1000641	G	Triose-phosphate isomerase	COG0149
V1000842	C	it plays a direct role in the translocation of protons across the membrane (By similarity)	COG0356
V1552772	G	Pyruvate kinase	COG3848
V1577987	S	DNA-entry nuclease	12175
V1000134	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	COG0576
V1491714	J	30S ribosomal protein S1	COG0539
V1886517	C	L-lactate dehydrogenase	COG0039
V1000551	G	alpha amylase, catalytic region	COG0366
V1203300	S	dak2 domain fusion protein ylov	COG1461
V1064534	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0085
V1000050	S	NA	11VH8
V1000526	L	helicase	COG3973
V1295196	D	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)	COG0849
V1000533	F	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen (By similarity)	COG0504
V1607589	T	Histidine kinase	COG0642
V1000171	E	ABC transporter	COG0747
V1006727	J	30S ribosomal protein S1	COG0539
V1042355	G	pts system	COG3444
V1391945	G	PTS system mannose fructose sorbose family transporter subunit IID	COG3716
V1000143	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	COG0264
V1143984	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1886558	G	Aldolase	COG0191
V1162881	G	Phosphoglucomutase phosphomannomutase alpha beta alpha domain	COG1109
V1059001	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1064607	G	Glycogen debranching enzyme	COG1523
V1552804	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1482513	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)	COG0551
V1001468	J	Leucyl-tRNA synthetase	COG0495
V1034832	O	Metallo-Beta-Lactamase	COG0595
V1582965	S	NA	0ZIMM
V1576462	C	Dehydrogenase	COG1454
V1101641	G	hydrolase family 65, central catalytic	COG1554
V1191213	T	serine threonine protein kinase	COG0515
V1886416	G	Pyruvate kinase	COG3848
V1852083	J	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits	COG0094
V1000892	G	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)	COG1109
V1104333	E	Releases the N-terminal proline from various substrates (By similarity)	0ZVHU
V1000326	J	threonyL-tRNA synthetase	COG0441
V1000093	M	D-alanyl-lipoteichoic acid biosynthesis protein DltD	COG3966
V1000008	F	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism (By similarity)	COG0563
V1886598	M	Glyco_25	COG3757
V1000574	D	modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)	COG4477
V1430882	M	Cell wall-associated hydrolase	COG0791
V1582970	S	Bacteriophage peptidoglycan hydrolase 	0ZNE8
V1381763	G	BadF BadG BcrA BcrD	COG2971
V1552751	J	gtp-binding protein	COG0012
V1000009	J	Binds to the 23S rRNA (By similarity)	COG0200
V1033891	S	Domain of unknown function (DUF1827)	0XV2U
V1852084	J	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)	COG0089
V1000519	G	PTS System	COG1264
V1541135	G	trehalose-6-phosphate hydrolase (EC 3.2.1.93)	COG0366
V1363976	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1297375	J	Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)	COG0199
V1547338	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)	COG0234
V1886451	V	ABC transporter transmembrane region	COG1132
V1552718	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)	COG0249
V1481366	J	30S ribosomal protein S1	COG0539
V1033902	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1612261	S	NA	11S7H
V1595063	E	ABC transporter	COG3839
V1482595	J	One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome (By similarity)	COG0088
V1000057	F	Phosphoribosyl pyrophosphate synthase	COG0462
V1000601	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)	COG0013
V1000301	K, T	In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity)	COG0317
V1000499	J	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)	COG0154
V1000046	T	Universal stress protein	COG0589
V1301166	S	NA	0ZTYV
V1851983	L	ATP-dependent DNA helicase pcra	COG0210
V1503141	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1060343	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)	COG0712
V1852133	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)	COG0290
V1043585	J	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome (By similarity)	COG0184
V1541162	S	NA	0ZTYV
V1000643	K	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs (By similarity)	COG0557
V1552777	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)	COG0532
V1339861	J	30S ribosomal protein S2	COG0052
V1000300	J	aspartyl-trna synthetase	COG0173
V1481324	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)	COG0064
V1000563	F	Essential for recycling GMP and indirectly, cGMP (By similarity)	COG0194
V1000082	L	Replicative dna helicase	COG0305
V1852094	F	adenylosuccinate lyase	COG0015
V1381895	E	ABC transporter	COG3839
V1046767	L	dna polymerase I	COG0749
V1000882	C	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)	COG0282
V1464441	J	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)	COG0525
V1522031	E	Acetylornithine deacetylase	COG0624
V1000007	J	however, it seems to stimulate more or less all the activities of the other two initiation factors, IF-2 and IF-3 (By similarity)	COG0361
V1836833	S	NA	0ZTYV
V1000077	L	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity. The beta chain is required for initiation of replication once it is clamped onto DNA, it slides freely (bidirectional and ATP- independent) along duplex DNA (By similarity)	COG0592
V1033474	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1594784	I	Diacylglycerol kinase	COG1597
V1836820	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)	COG0769
V1000502	F	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)	COG0516
V1000312	J	50S ribosomal protein L33	COG0267
V1852114	L	ImpB MucB SamB family protein	COG0389
V1000625	S	Transcriptional regulator	COG1426
V1000304	G	Glycogen debranching enzyme	COG1523
V1000044	E	asparagine synthetase	COG0367
V1481442	G	Glycogen debranching enzyme	COG1523
V1000575	L	site-specific recombinase, phage integrase family	COG4974
V1143377	G	PTS System	COG1445
V1000144	J	30S ribosomal protein S2	COG0052
V1852111	M	Sulfatase	COG1368
V1000168	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile) (By similarity)	COG0060
V1018798	T	Tetracycline resistance protein	COG0480
V1298012	V	Type I Restriction	COG0610
V1469282	E, P	Oligopeptide ABC transporter, permease protein AppB	COG0601
V1213480	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)	COG0468
V1268240	G	Glycogen debranching enzyme	COG1523
V1269184	P	ABC transporter	COG0803
V1886513	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1339711	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1836800	S	Sex pheromone	COG4851
V1000307	E	glutamine synthetase	COG0174
V1852140	J	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation (By similarity)	COG0143
V1001475	V	ABC transporter	COG1131
V1033803	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1851978	G	ABC transporter	COG1653
V1483972	S	NA	0ZTYV
V1580709	J	30S ribosomal protein S21	COG0828
V1594229	G	Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)	COG0362
V1164544	L	dna polymerase iii	COG2812
V1000501	N, U	flagellar rod assembly protein muramidase flgj	COG1705
V1000603	L	Could be a nuclease that resolves Holliday junction intermediates in genetic recombination (By similarity)	COG0816
V1851995	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)	COG0275
V1356068	O	Metallo-Beta-Lactamase	COG0595
V1594750	F	hypoxanthine phosphoribosyltransferase	COG0634
V1547320	S	integral membrane protein	0XS1S
V1580898	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)	COG0098
V1885928	S	pathogenesis	0XR1H
V1000106	F	formyltetrahydrofolate synthetase	COG2759
V1000013	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)	COG0096
V1000139	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity (By similarity)	COG2176
V1006021	J	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits	COG0099
V1000011	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)	COG0256
V1481441	L	ATP-dependent RNA helicase	COG0513
V1491685	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1423320	S	NA	0ZTYV
V1483085	S	pathogenesis	0XR1H
V1000318	J	phenylalanyl-tRNA synthetase (beta subunit)	COG0073
V1582957	S	NA	0Z7V2
V1836805	P	E1-E2 ATPase	COG2217
V1000835	M	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide the precursor of murein (By similarity)	COG0770
V1033764	C	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction (By similarity)	COG0282
V1389769	G	hydrolase family 65, central catalytic	COG1554
V1491698	T	serine threonine protein kinase	COG0515
V1582972	S	NA	0YDBQ
V1164543	I	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)	COG0020
V1552737	H	Involved in the biosynthesis of D-alanyl-lipoteichoic acid (LTA). Catalyzes an ATP-dependent two-step reaction where it forms a high energy D-alanyl AMP intermediate and transfers the alanyl residues from AMP to Dcp (By similarity)	COG1020
V1381580	P	Chloride channel	COG0038
V1887155	J	Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP (By similarity)	COG4108
V1075411	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1420585	E	Oligoendopeptidase f	COG1164
V1000047	T	protein tyrosine serine phosphatase	COG2365
V1000069	T	Histidine kinase	0XNMH
V1364188	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1000124	J	Binds directly to 16S ribosomal RNA (By similarity)	COG0268
V1000151	J	30s ribosomal protein S16	COG0228
V1006628	J	Removes the N-terminal methionine from nascent proteins (By similarity)	COG0024
V1076036	F	nucleoside hydrolase	COG1957
V1000834	L	ATP-dependent RNA helicase	COG0513
V1000564	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)	COG0206
V1390171	S	NA	0ZTYV
