Gene	CDD	GO	Gene3D	Hamap	Interpro	MobiDBLite	PIRSF	PRINTS	Pfam	ProDom	ProSitePatterns	ProSiteProfiles	SFLD	SMART	SUPERFAMILY	TIGRFAM
V1000487	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-1,6-bisphosphate aldolase, class 2; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase;  fructose-1,6-bisphosphate aldolase, class II
V1000075		; Ribonuclease P; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup		; Ribonuclease P protein component [rnpA].	; Ribonuclease P; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup				; Ribonuclease P	; P RIBONUCLEASE COMPONENT HYDROLASE RNASE C5 RNASEP RNA-BINDING PROCESSING ENDONUCLEASE					; Ribosomal protein S5 domain 2-like	;  ribonuclease P protein component
V1016074		; Capsid/spike protein, ssDNA virus; Microviridae F protein	; Bacteriophage G4 Capsid Proteins Gpf		; Capsid/spike protein, ssDNA virus; Microviridae F protein				; Capsid protein (F protein)						; ssDNA viruses	
V1000004	; RNAP_alpha_NTD	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal	; 5' to 3' exonuclease; RNA Polymerase Alpha Subunit; Chain A	; DNA-directed RNA polymerase subunit alpha [rpoA].	; DNA-directed RNA polymerase, RBP11-like dimerisation domain; DNA-directed RNA polymerase, RpoA/D/Rpb3-type; DNA-directed RNA polymerase, alpha subunit; DNA-directed RNA polymerase, insert domain; RNA polymerase, alpha subunit, C-terminal				; Bacterial RNA polymerase, alpha chain C terminal domain; RNA polymerase Rpb3/Rpb11 dimerisation domain; RNA polymerase Rpb3/RpoA insert domain	; RNA POLYMERASE ALPHA DNA-DIRECTED SUBUNIT CHAIN NUCLEOTIDYLTRANSFERASE TRANSFERASE TRANSCRIPTION TRANSCRIPTASE				; RNA polymerases D	; C-terminal domain of RNA polymerase alpha subunit; Insert subdomain of RNA polymerase alpha subunit; RBP11-like subunits of RNA polymerase; RBP11-like subunits of RNA polymerase	;  DNA-directed RNA polymerase, alpha subunit
V1000943	; Ribosomal_L11	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12	; Ribosomal protein L11	; 50S ribosomal protein L11 [rplK].	; Ribosomal protein L11, C-terminal; Ribosomal protein L11, N-terminal; Ribosomal protein L11, bacterial-type; Ribosomal protein L11, conserved site; Ribosomal protein L11/L12				; Ribosomal protein L11, N-terminal domain; Ribosomal protein L11, RNA binding domain	; RIBOSOMAL RIBONUCLEOPROTEIN L11 RRNA-BINDING RNA-BINDING METHYLATION 50S L11 BACTERIAL CHLOROPLAST	; Ribosomal protein L11 signature.			; Ribosomal protein L11/L12	; Ribosomal protein L11, C-terminal domain; Ribosomal L11/L12e N-terminal domain	;  ribosomal protein uL11
V1836804	; LysRS_N; LysRS_core	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type	; Nucleic acid-binding proteins; Bira Bifunctional Protein; Domain 2	; Lysine--tRNA ligase [lysS].	; Aminoacyl-tRNA synthetase, class II; Aminoacyl-tRNA synthetase, class II (D/K/N); Lysine-tRNA ligase, class II; Lysyl-tRNA synthetase, class II, C-terminal; Nucleic acid-binding, OB-fold; OB-fold nucleic acid binding domain, AA-tRNA synthetase-type			; Lysyl-tRNA synthetase signature	; OB-fold nucleic acid binding domain; tRNA synthetases class II (D, K and N)			; Aminoacyl-transfer RNA synthetases class-II family profile.			; Nucleic acid-binding proteins; Class II aaRS and biotin synthetases	;  lysine--tRNA ligase
V1016073		; Minor spike protein			; Minor spike protein		; (Full) minor spike protein, Enterobacteria phage type		; Microvirus H protein (pilot protein)	; H SPIKE MINOR PILOT CAPSID STRUCTURAL S13 GENOME BACTERIOPHAGE						
V1000886		; Solute-binding family 1, conserved site	; Periplasmic binding protein-like II		; Solute-binding family 1, conserved site				; Bacterial extracellular solute-binding protein		; Bacterial extracellular solute-binding proteins, family 1 signature.	; Prokaryotic membrane lipoprotein lipid attachment site profile.			; Periplasmic binding protein-like II	
V1565357						; consensus disorder prediction										
V1000944	; Ribosomal_L1	; Ribosomal protein L1; Ribosomal protein L1, 2-layer alpha/beta-sandwich; Ribosomal protein L1, 3-layer alpha/beta-sandwich; Ribosomal protein L1, bacterial-type; Ribosomal protein L1, conserved site; Ribosomal protein L1-like; Ribosomal protein L1/ribosomal biogenesis protein		; 50S ribosomal protein L1 [rplA].	; Ribosomal protein L1; Ribosomal protein L1, 2-layer alpha/beta-sandwich; Ribosomal protein L1, 3-layer alpha/beta-sandwich; Ribosomal protein L1, bacterial-type; Ribosomal protein L1, conserved site; Ribosomal protein L1-like; Ribosomal protein L1/ribosomal biogenesis protein		; (Full) ribosomal protein, L1p/L1a/L10e/organellar L1 types		; Ribosomal protein L1p/L10e family		; Ribosomal protein L1 signature.				; Ribosomal protein L1	;  ribosomal protein uL1
V1195882	; TBP_aldolase_IIB	; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II	; Aldolase class I		; Aldolase-type TIM barrel; Fructose-bisphosphate aldolase, class-II		; (Full) fructose-bisphosphate aldolase II		; Fructose-bisphosphate aldolase class-II						; Aldolase	;  ketose-bisphosphate aldolase
V1340131		; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like		; Probable transcriptional regulatory protein YebC [yebC].	; Integrase, N-terminal zinc-binding domain-like; Transcriptional regulator TACO1-like; Transcriptional regulator TACO1-like, domain 2; Transcriptional regulator TACO1-like, domain 3; YebC-like	; consensus disorder prediction			; Transcriptional regulator						; YebC-like	;  DNA-binding regulatory protein, YebC/PmpR family
V1553523		; Foldase protein PrsA; Peptidyl-prolyl cis-trans isomerase, PpiC-type; Trigger factor/SurA domain		; Foldase protein PrsA [prsA].	; Foldase protein PrsA; Peptidyl-prolyl cis-trans isomerase, PpiC-type; Trigger factor/SurA domain				; PPIC-type PPIASE domain			; PpiC-type peptidyl-prolyl cis-trans isomerase family profile.			; Triger factor/SurA peptide-binding domain-like; FKBP-like	
V1000129	; BipA_TypA_C; BipA_TypA_II; TypA_BipA	; Elongation factor G, III-V domain; GTP-binding protein TypA; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain	; bipa protein; Elongation Factor G (Translational Gtpase); P-loop containing nucleotide triphosphate hydrolases; Translation factors		; Elongation factor G, III-V domain; GTP-binding protein TypA; P-loop containing nucleoside triphosphate hydrolase; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation Factor G, domain II; Elongation factor G C-terminus; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.		; Elongation factor G C-terminus	; EF-G C-terminal domain-like; EF-G C-terminal domain-like; P-loop containing nucleoside triphosphate hydrolases; Translation proteins	;  GTP-binding protein TypA/BipA;  small GTP-binding protein domain
V1852092		; ECF transporter S component, folate family; ECF transporter, substrate-specific component			; ECF transporter S component, folate family; ECF transporter, substrate-specific component				; ECF transporter, substrate-specific component							;  ECF transporter S component, folate family
V1852039		; DNA-directed RNA polymerase subunit delta; HB1/Asxl, restriction endonuclease HTH domain		; Probable DNA-directed RNA polymerase subunit delta [rpoE].	; DNA-directed RNA polymerase subunit delta; HB1/Asxl, restriction endonuclease HTH domain	; consensus disorder prediction			; HB1, ASXL, restriction endonuclease HTH domain							;  DNA-directed RNA polymerase delta subunit
V1000080	; bS6	; Ribosomal protein S6; Ribosomal protein S6, plastid/chloroplast; Translation elongation factor EF1B/ribosomal protein S6		; 30S ribosomal protein S6 [rpsF].	; Ribosomal protein S6; Ribosomal protein S6, plastid/chloroplast; Translation elongation factor EF1B/ribosomal protein S6				; Ribosomal protein S6						; Ribosomal protein S6	;  ribosomal protein bS6
V1553618		; Membrane insertase OXA1/ALB3/YidC; Membrane insertase YidC/Oxa1, C-terminal; Membrane insertase YidC/YidC1/YidC2, Firmicutes		; Membrane protein insertase YidC [yidC].	; Membrane insertase OXA1/ALB3/YidC; Membrane insertase YidC/Oxa1, C-terminal; Membrane insertase YidC/YidC1/YidC2, Firmicutes				; 60Kd inner membrane protein							;  membrane protein insertase, YidC/Oxa1 family
V1439186		; Ribosomal protein L19; Ribosomal protein L19, conserved site; Translation protein SH3-like domain		; 50S ribosomal protein L19 [rplS].	; Ribosomal protein L19; Ribosomal protein L19, conserved site; Translation protein SH3-like domain		; (Full) ribosomal protein L19	; Ribosomal protein L19 signature	; Ribosomal protein L19		; Ribosomal protein L19 signature.				; Translation proteins SH3-like domain	;  ribosomal protein bL19
V1432502	; S1_EF-P_repeat_1; S1_EF-P_repeat_2	; Elongation factor P, C-terminal; Nucleic acid-binding, OB-fold; Ribosomal protein L2 domain 2; Translation elongation factor P; Translation elongation factor P/YeiP; Translation elongation factor P/YeiP, central; Translation elongation factor P/YeiP, conserved site; Translation elongation factor, KOW-like; Translation protein SH3-like domain	; Nucleic acid-binding proteins; Nucleic acid-binding proteins	; Elongation factor P [efp].	; Elongation factor P, C-terminal; Nucleic acid-binding, OB-fold; Ribosomal protein L2 domain 2; Translation elongation factor P; Translation elongation factor P/YeiP; Translation elongation factor P/YeiP, central; Translation elongation factor P/YeiP, conserved site; Translation elongation factor, KOW-like; Translation protein SH3-like domain		; (Full) translation elongation factor P		; Elongation factor P (EF-P) KOW-like domain; Elongation factor P (EF-P) OB domain; Elongation factor P, C-terminal		; Elongation factor P signature.			; Elongation factor P, C-terminal; Elongation factor P (EF-P) OB domain 	; Nucleic acid-binding proteins; Translation proteins SH3-like domain; Nucleic acid-binding proteins	;  translation elongation factor P
V1577228	; HSPA9-Ssq1-like_NBD	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain	; Actin; Chain A; Substrate Binding Domain Of DNAk; Chain A	; Chaperone protein DnaK [dnaK].	; Chaperone DnaK; Heat shock protein 70 family; Heat shock protein 70, conserved site; Heat shock protein 70kD, C-terminal domain; Heat shock protein 70kD, peptide-binding domain			; 70kDa heat shock protein signature	; Hsp70 protein		; Heat shock hsp70 proteins family signature 1.; Heat shock hsp70 proteins family signature 2.; Heat shock hsp70 proteins family signature 3.				; Heat shock protein 70kD (HSP70), peptide-binding domain; Actin-like ATPase domain; Actin-like ATPase domain; Heat shock protein 70kD (HSP70), C-terminal subdomain	;  chaperone protein DnaK
V1000116	; Pyruvate_Kinase	; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Phosphohistidine domains of PEP-utilising enzymes; PK beta-barrel domain-like; Phosphoenolpyruvate-binding domains; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, mobile domain; Pyruvate kinase; Pyruvate kinase, C-terminal; Pyruvate kinase, alpha/beta; Pyruvate kinase, barrel; Pyruvate kinase, beta-barrel insert domain; Pyruvate kinase-like, insert domain; Pyruvate/Phosphoenolpyruvate kinase-like domain			; Pyruvate kinase family signature	; PEP-utilising enzyme, mobile domain; Pyruvate kinase, alpha/beta domain; Pyruvate kinase, barrel domain						; PK beta-barrel domain-like; PK C-terminal domain-like; Phosphoenolpyruvate/pyruvate domain; Phosphoenolpyruvate/pyruvate domain	;  pyruvate kinase
V1073967	; Ribosomal_L10	; Ribosomal protein L10; Ribosomal protein L10, eubacterial, conserved site; Ribosomal protein L10P		; 50S ribosomal protein L10 [rplJ].	; Ribosomal protein L10; Ribosomal protein L10, eubacterial, conserved site; Ribosomal protein L10P				; Ribosomal protein L10	; BETA-DEFENSIN ANTIBIOTIC PRECURSOR ANTIMICROBIAL DEFENSIN BETA SIGNAL DEFENSIN BD-32 DEFB-32	; Ribosomal protein L10 signature.				; Ribosomal protein L10-like	
V1481435		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain	; Phosphohistidine domains of PEP-utilising enzymes; Enzyme I of the PEP; Phosphoenolpyruvate-binding domains		; PEP-utilising enzyme, C-terminal; PEP-utilising enzyme, active site; PEP-utilising enzyme, conserved site; PEP-utilising enzyme, mobile domain; Phosphotransferase system, enzyme I; Phosphotransferase system, enzyme I  N-terminal; Phosphotransferase system, enzyme I-like; Pyruvate/Phosphoenolpyruvate kinase-like domain		; (Full) phosphoenolpyruvate-protein phosphotransferase	; Phosphoenolpyruvate-protein phosphotransferase signature	; PEP-utilising enzyme, N-terminal; PEP-utilising enzyme, TIM barrel domain; PEP-utilising enzyme, mobile domain		; PEP-utilizing enzymes phosphorylation site signature.; PEP-utilizing enzymes signature 2.				; Phosphoenolpyruvate/pyruvate domain; Phosphohistidine domain; Enzyme I of the PEP	;  phosphoenolpyruvate-protein phosphotransferase
V1430275	; F1-ATPase_beta	; AAA+ ATPase domain; ATP synthase, F1 complex, beta subunit; ATPase, F1/V1 complex, beta subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase	; Bovine Mitochondrial F1-atpase; Atp Synthase Beta Chain; Chain D; P-loop containing nucleotide triphosphate hydrolases	; ATP synthase subunit beta [atpB].	; AAA+ ATPase domain; ATP synthase, F1 complex, beta subunit; ATPase, F1/V1 complex, beta subunit, C-terminal; ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain; ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain; ATPase, alpha/beta subunit, nucleotide-binding domain, active site; P-loop containing nucleoside triphosphate hydrolase				; ATP synthase alpha/beta family, beta-barrel domain; ATP synthase alpha/beta family, nucleotide-binding domain		; ATP synthase alpha and beta subunits signature.			; ATPases associated with a variety of cellular activities	; P-loop containing nucleoside triphosphate hydrolases; N-terminal domain of alpha and beta subunits of F1 ATP synthase; C-terminal domain of alpha and beta subunits of F1 ATP synthase	;  ATP synthase F1, beta subunit
V1000040	; RNR_III	; ATP-cone domain; Formate C-acetyltransferase glycine radical, conserved site; Glycine radical domain; Ribonucleoside-triphosphate reductase, anaerobic			; ATP-cone domain; Formate C-acetyltransferase glycine radical, conserved site; Glycine radical domain; Ribonucleoside-triphosphate reductase, anaerobic				; ATP cone domain; Anaerobic ribonucleoside-triphosphate reductase		; Glycine radical domain signature.	; ATP-cone domain profile.; Glycine radical domain profile.			; PFL-like glycyl radical enzymes	;  anaerobic ribonucleoside-triphosphate reductase
V1000527	; EF-G; EFG_mtEFG1_IV; EFG_mtEFG_C; EFG_mtEFG_II	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain	; Elongation Factor G (Translational Gtpase); P-loop containing nucleotide triphosphate hydrolases; Translation factors	; Elongation factor G [fusA].	; Elongation factor G, III-V domain; P-loop containing nucleoside triphosphate hydrolase; Ribosomal protein S5 domain 2-type fold; Ribosomal protein S5 domain 2-type fold, subgroup; Small GTP-binding protein domain; Tr-type G domain, conserved site; Transcription factor, GTP-binding domain; Translation elongation factor EFG, V domain; Translation elongation factor EFG/EF2; Translation elongation factor EFG/EF2, domain IV; Translation elongation factor EFTu-like, domain 2; Translation protein, beta-barrel domain			; GTP-binding elongation factor signature	; Elongation Factor G, domain II; Elongation factor G C-terminus; Elongation factor G, domain IV; Elongation factor Tu GTP binding domain; Elongation factor Tu domain 2		; Translational (tr)-type guanine nucleotide-binding (G) domain signature.	; Translational (tr)-type guanine nucleotide-binding (G) domain profile.		; Elongation factor G, domain IV; Elongation factor G C-terminus	; EF-G C-terminal domain-like; EF-G C-terminal domain-like; Ribosomal protein S5 domain 2-like; Translation proteins; P-loop containing nucleoside triphosphate hydrolases	;  translation elongation factor G;  small GTP-binding protein domain
V1430882		; Endopeptidase, NLPC/P60 domain	; endopeptidase domain like (from Nostoc punctiforme)		; Endopeptidase, NLPC/P60 domain				; NlpC/P60 family						; Cysteine proteinases	
V1000143	; UBA_EF-Ts	; Translation elongation factor EFTs/EF1B; Translation elongation factor EFTs/EF1B, dimerisation; Translation elongation factor Ts, conserved site; UBA-like	; DNA helicase RuvA subunit; Elongation Factor Tu; Chain B; Elongation Factor Tu; Chain B; Elongation Factor Tu; Chain B	; Elongation factor Ts [tsf].	; Translation elongation factor EFTs/EF1B; Translation elongation factor EFTs/EF1B, dimerisation; Translation elongation factor Ts, conserved site; UBA-like				; Elongation factor TS		; Elongation factor Ts signature 1.; Elongation factor Ts signature 2.				; Elongation factor Ts (EF-Ts), dimerisation domain; Elongation factor Ts (EF-Ts), dimerisation domain; UBA-like	;  translation elongation factor Ts
V1000305	; enolase	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site	; Enolase superfamily; Enolase-like	; Enolase [eno].	; Enolase; Enolase C-terminal domain-like; Enolase N-terminal domain-like; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal; Enolase, conserved site		; (Full) enolase	; Enolase signature	; Enolase, C-terminal TIM barrel domain; Enolase, N-terminal domain		; Enolase signature.		; Enolase	; Enolase, C-terminal TIM barrel domain ; Enolase, N-terminal domain 	; Enolase N-terminal domain-like; Enolase C-terminal domain-like	;  phosphopyruvate hydratase
V1000546			; Periplasmic binding protein-like II; Periplasmic binding protein-like II						; Bacterial extracellular solute-binding protein			; Prokaryotic membrane lipoprotein lipid attachment site profile.			; Periplasmic binding protein-like II	
V1000079	; TOP4c	; Arginine repressor C-terminal-like domain; DNA gyrase, subunit A; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA topoisomerase, type IIA-like domain	; GyrA/ParC C-terminal domain-like ; Topoisomerase II; Topoisomerase II	; DNA gyrase subunit A [gyrA].	; Arginine repressor C-terminal-like domain; DNA gyrase, subunit A; DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta; DNA topoisomerase, type IIA, subunit A/C-terminal; DNA topoisomerase, type IIA-like domain				; DNA gyrase C-terminal domain, beta-propeller; DNA gyrase/topoisomerase IV, subunit A					; DNA Topoisomerase IV	; GyrA/ParC C-terminal domain-like; Type II DNA topoisomerase	;  DNA gyrase, A subunit
V1339929	; HicDH_like	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain	; L-2-Hydroxyisocaproate Dehydrogenase; NAD(P)-binding Rossmann-like Domain	; L-lactate dehydrogenase [ldh].	; L-lactate dehydrogenase; L-lactate dehydrogenase, active site; L-lactate/malate dehydrogenase; Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal; Lactate/malate dehydrogenase, C-terminal; Lactate/malate dehydrogenase, N-terminal; NAD(P)-binding domain		; (Full) L-lactate/malate dehydrogenase	; L-lactate dehydrogenase signature	; lactate/malate dehydrogenase, NAD binding domain; lactate/malate dehydrogenase, alpha/beta C-terminal domain		; L-lactate dehydrogenase active site.				; NAD(P)-binding Rossmann-fold domains; LDH C-terminal domain-like	;  L-lactate dehydrogenase
