Gene	category	Annotation	COGID
V1600200	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1852092	S	Membrane	11R75
V1358422	J	ribosomal subunit Interface protein	COG1544
V1565357	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1448274	S	surface protein	11NE4
V1430275	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1000116	G	Pyruvate kinase	COG3848
V1150346	S	NA	0Z3PS
V1819416	O	ATP-dependent CLP protease ATP-binding subunit	COG0542
V1491685	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1431607	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1136265	L	Involved in DNA repair and RecF pathway recombination (By similarity)	COG1381
V1000549	G	hydrolase family 65, central catalytic	COG1554
V1000079	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0188
V1503164	S	surface protein	11NE4
V1164548	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1851967	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons (By similarity)	COG1420
V1195882	G	Aldolase	COG0191
V1000836	J	50s ribosomal protein l31 type b	COG0254
V1000886	G	ABC transporter	COG1653
V1597389	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1000004	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1340131	K	transcriptional regulatory protein	COG0217
V1301210	L	Transposase	COG3328
V1912442	G	Phosphohexokinase	COG0205
V1500383	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1599277	M	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism (By similarity)	COG1159
V1000627	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1000546	G	(ABC) transporter	COG2182
V1203576	G	Phosphohexokinase	COG0205
V1136202	S	acetyltransferase	COG0456
V1392216	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1000640	G	Phosphoglycerate kinase	COG0126
V1000475	S	Domain of unknown function (DUF1827)	0XV2U
V1000527	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1211229	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1448519	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1213511	O	Peptidase M22 Glycoprotease	COG1214
V1136163	J	50s ribosomal protein L10	COG0244
V1483404	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1481435	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1000545	P	permease protein	COG1175
V1000305	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1000943	J	This protein binds directly to 23S ribosomal RNA (By similarity)	COG0080
V1136121	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1136133	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1899820	S	Lpxtg-motif cell wall anchor domain protein	0Y34J
V1887021	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1000040	F	(Anaerobic) ribonucleoside-triphosphate reductase	COG1328
V1836804	J	lysyL-tRNA synthetase	COG1190
V1136538	O	Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation	COG0544
V1000548	S	K01838 beta-phosphoglucomutase EC 5.4.2.6	COG0637
V1449303	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1000134	O	Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ	COG0576
V1576760	S	Protein of unknown function (DUF964)	0ZQU8
V1836833	S	NA	0ZTYV
V1547338	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter (By similarity)	COG0234
V1000821	M	Glyco_25	COG3757
V1464170	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)	COG0056
V1136352	T	gtp-binding protein typa	COG1217
V1542216	S	pathogenesis	0XR1H
V1552804	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1150284	L	Integrase	COG0582
V1155228	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000570	D	Rod shape-determining protein mreb	COG1077
V1886517	C	L-lactate dehydrogenase	COG0039
V1000630	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane (By similarity)	COG0653
V1000841	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)	COG0712
V1136116	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)	COG0594
V1006727	J	30S ribosomal protein S1	COG0539
V1073967	J	50s ribosomal protein L10	COG0244
V1886336	G	phosphocarrier protein (HPr	COG1925
V1000129	T	gtp-binding protein typa	COG1217
V1000075	J	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)	COG0594
V1000080	J	Binds together with S18 to 16S ribosomal RNA (By similarity)	COG0360
V1000845	G	phosphohexose isomerase	COG0166
V1432502	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)	COG0231
V1136573	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)	COG0081
V1552764	O	FeS assembly protein SUFB	COG0719
V1852039	K	Participates in both the initiation and recycling phases of transcription. In the presence of the delta subunit, RNAP displays an increased specificity of transcription, a decreased affinity for nucleic acids, and an increased efficiency of RNA synthesis because of enhanced recycling (By similarity)	COG3343
V1880135	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1213705	G	Aldolase	COG0191
V1203556	I	Acyl-ACP thioesterase	COG3884
V1576144	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)	COG0201
V1136581	K	regulatoR	COG2390
V1034832	O	Metallo-Beta-Lactamase	COG0595
V1157115	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1136570	J	ribosomal subunit Interface protein	COG1544
V1448327	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1503161	S	Lpxtg-motif cell wall anchor domain protein	0Y34J
V1043485	J	One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)	COG0198
V1136563	S	alkaline shock protein	COG1302
V1420563	L	DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)	COG0187
V1885719	Q	Dithiol-disulfide isomerase	COG2761
V1000828	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1093074	G	(ABC) transporter	COG2182
V1209719	S	Lpxtg-motif cell wall anchor domain protein	0Y34J
V1851982	S	(ABC) transporter	COG0488
V1836805	P	E1-E2 ATPase	COG2217
V1306539	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1885262	C	Dehydrogenase	COG1454
V1553618	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins	COG0706
V1381099	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)	COG0224
V1852094	F	adenylosuccinate lyase	COG0015
V1000023	F	Phosphoribosyl pyrophosphate synthase	COG0462
V1552772	G	Pyruvate kinase	COG3848
V1213513	G	hydrolase family 65, central catalytic	COG1554
V1000184	S	Bacteriophage peptidoglycan hydrolase 	0ZNE8
V1136308	M	NLP P60 protein	COG0791
V1033902	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1162881	G	Phosphoglucomutase phosphomannomutase alpha beta alpha domain	COG1109
V1599322	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)	COG0522
V1211334	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1886387	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0202
V1136122	L	single-stranded DNA-binding protein	COG0629
V1000518	K	Transcriptional regulator	COG1737
V1886547	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1423320	S	NA	0ZTYV
V1000944	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)	COG0081
V1880077	J	asparaginyl-tRNA synthetase	COG0017
V1000503	P	cation-transporting atpase	COG0474
V1799367	L	Integrase catalytic subunit	0XPD4
V1033869	J	Elongation factor Tu GTP binding domain	COG0050
V1593006	S	pathogenesis	0XR1H
V1886416	G	Pyruvate kinase	COG3848
V1211254	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1299127	M	penicillin-binding protein	COG0768
V1136562	L	Transposase	COG2801
V1150319	L	Virulence-associated protein e	COG5545
V1136548	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	COG0264
V1482513	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone (By similarity)	COG0551
V1576462	C	Dehydrogenase	COG1454
V1439186	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)	COG0335
V1851995	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)	COG0275
V1213559	E	ABC transporter	COG0747
V1607579	S	pathogenesis	0XR1H
V1899703	S	Membrane	11R75
V1430882	M	Cell wall-associated hydrolase	COG0791
V1156179	J	30S ribosomal protein S1	COG0539
V1552718	L	that it carries out the mismatch recognition step. This protein has a weak ATPase activity (By similarity)	COG0249
V1135969	V	Type I site-specific deoxyribonuclease	COG0610
V1136606	J	50S ribosomal protein l27	COG0211
V1203570	G	phosphohexose isomerase	COG0166
V1000001	J	30S ribosomal protein S9	COG0103
V1211166	S	Inherit from NOG: LPXTG-motif cell wall anchor domain protein	0YEBJ
V1323707	S	domain protein	0XNZW
V1882996	S	NA	101UU
V1046767	L	dna polymerase I	COG0749
V1503139	L	Helicase, RecD TraA family	COG0507
V1036606	C	Component of the F(0) channel, it forms part of the peripheral stalk, linking F(1) to F(0) (By similarity)	COG0711
V1136272	C	d-lactate dehydrogenase	COG1052
V1136248	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)	COG0468
V1607589	T	Histidine kinase	COG0642
V1006020	J	One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity	COG0090
V1464271	S	NA	0ZTYV
V1295196	D	This protein may be involved in anomalous filament growth. May be a component of the septum (By similarity)	COG0849
V1891001	D	Rod shape-determining protein mreb	COG1077
V1000205	S	Uncharacterised protein family (UPF0150)	101HY
V1000641	G	Triose-phosphate isomerase	COG0149
V1599154	O	Acts as a chaperone (By similarity)	COG0443
V1064534	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0085
V1885085	S	Acyltransferase family	11SJZ
V1886513	S	Endoribonuclease that initiates mRNA decay (By similarity)	COG1418
V1889488	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1000106	F	formyltetrahydrofolate synthetase	COG2759
V1136229	V	ABC transporter, permease	COG0577
V1000046	T	Universal stress protein	COG0589
V1204223	S	NA	101UU
V1107920	S	NA	0Y8RQ
V1203510	S	NA	11SQP
V1360328	J	50S ribosomal protein L33	COG0267
V1000504	H	Nicotinate phosphoribosyltransferase	COG1488
V1000132	L	Single-stranded-DNA-specific exonuclease (RecJ)	COG0608
V1213480	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage (By similarity)	COG0468
V1000564	D	Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity (By similarity)	COG0206
V1552777	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex (By similarity)	COG0532
V1149295	S	surface protein	11NE4
V1580955	O	Acts as a chaperone (By similarity)	COG0443
V1799342	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)	COG0086
V1000082	L	Replicative dna helicase	COG0305
V1136115	U	Required for the insertion and or proper folding and or complex formation of integral membrane proteins into the membrane. Involved in integration of membrane proteins that insert both dependently and independently of the Sec translocase complex, as well as at least some lipoproteins	COG0706
V1426355	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins (By similarity)	COG0290
V1836823	S	Domain of unknown function (DUF956)	COG4687
V1000018	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)	COG0092
V1211279	E	Aminopeptidase	COG0308
V1211411	M	Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)	COG0275
V1615591	S	NA	0ZTYV
V1136382	J	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)	COG0261
V1136359	E	glutamine synthetase	COG0174
V1136049	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)	COG0102
V1000304	G	Glycogen debranching enzyme	COG1523
V1599336	S	NA	120ST
V1000143	J	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)	COG0264
V1000069	T	Histidine kinase	0XNMH
V1573648	J	50S ribosomal protein l32	COG0333
V1481338	S	Nadph-dependent fmn reductase	COG0431
V1594784	I	Diacylglycerol kinase	COG1597
V1136230	K	Transcriptional regulator	120E9
V1000017	J	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)	COG0197
V1592992	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)	COG0008
V1104333	E	Releases the N-terminal proline from various substrates (By similarity)	0ZVHU
V1000574	D	modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization (By similarity)	COG4477
V1799292	S	acidPPc	0XUCW
V1143984	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1000093	M	D-alanyl-lipoteichoic acid biosynthesis protein DltD	COG3966
V1000021	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity)	COG0087
V1364877	C	Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)	COG0355
V1203452	N, U	flagellar rod assembly protein muramidase flgj	COG1705
V1033474	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1000171	E	ABC transporter	COG0747
V1000643	K	3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs (By similarity)	COG0557
V1301166	S	NA	0ZTYV
V1000500	L	DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA (By similarity)	COG0272
V1356068	O	Metallo-Beta-Lactamase	COG0595
V1000057	F	Phosphoribosyl pyrophosphate synthase	COG0462
V1059001	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr) (By similarity)	COG1080
V1191213	T	serine threonine protein kinase	COG0515
V1211201	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently (By similarity)	COG0201
V1144304	J	30S ribosomal protein S9	COG0103
V1553523	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1000499	J	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)	COG0154
V1000625	S	Transcriptional regulator	COG1426
V1237406	J	lysyL-tRNA synthetase	COG1190
V1136388	G	Phosphoglycerate kinase	COG0126
V1164541	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1886965	K	transcriptional regulatory protein	COG0217
V1392006	J	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)	COG0335
V1836820	M	Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan (By similarity)	COG0769
V1000003	J	50S ribosomal protein l17	COG0203
V1211371	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)	COG0008
V1392169	S	Protein of unknown function (DUF964)	0ZQU8
V1553208	O	Inherit from COG: peptidase (S8 and S53, subtilisin, kexin, sedolisin	COG1404
V1593025	S	pathogenesis	0XR1H
V1886582	G	Phosphoketolase	COG3957
V1000637	O	Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins (By similarity)	COG0740
V1000300	J	aspartyl-trna synthetase	COG0173
V1363976	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins (By similarity)	COG0465
V1000827	J	Catalyzes the synthesis of dihydrouridine, a modified base found in the D-loop of most tRNAs (By similarity)	COG0042
V1339711	O	Plays a major role in protein secretion by helping the post-translocational extracellular folding of several secreted proteins (By similarity)	COG0760
V1599266	F	carbamoyl-phosphate synthetase ammonia chain	COG0458
V1033925	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)	COG0055
V1075411	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)	COG0480
V1553668	M	defense response to bacterium	COG1705
V1580921	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1481324	J	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln) (By similarity)	COG0064
V1599150	L	Required for replicative DNA synthesis. This DNA polymerase also exhibits 3' to 5' exonuclease activity (By similarity)	COG2176
V1136050	J	30S ribosomal protein S9	COG0103
V1338881	J	30S ribosomal protein S21	COG0828
V1430708	S	surface protein	11NE4
V1136065	J	Involved in peptide bond synthesis. Stimulates efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA, thus increasing their reactivity as acceptors for peptidyl transferase (By similarity)	COG0231
V1886712	G	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate (By similarity)	COG1109
V1362265	K	Peptidase S24-like protein	COG2932
V1000081	T	domain protein	COG3887
V1000835	M	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide the precursor of murein (By similarity)	COG0770
V1381763	G	BadF BadG BcrA BcrD	COG2971
V1000563	F	Essential for recycling GMP and indirectly, cGMP (By similarity)	COG0194
V1464441	J	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner (By similarity)	COG0525
V1000601	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)	COG0013
